repeat,alpha_C,alpha_rho,alpha_F,alpha_Q,alpha_eta,TP,FP,TN,FN,recall,frr,precision,specificity,f1,mcc,balanced_accuracy
75,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1371,185,7763,239,0.8515527950310559,0.02327629592350277,0.8811053984575835,0.9767237040764972,0.8660770688566013,0.8396786998681797,0.9141382495537765
76,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1385,186,7767,219,0.8634663341645885,0.023387400980761978,0.8816040738383195,0.976612599019238,0.8724409448818897,0.8471006631215912,0.9200394665919133
77,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1374,189,7779,240,0.8513011152416357,0.02371987951807229,0.8790786948176583,0.9762801204819277,0.8649669499527857,0.8382961415492399,0.9137906178617816
78,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1371,194,7774,233,0.8547381546134664,0.024347389558232933,0.876038338658147,0.9756526104417671,0.8652571789207951,0.8386239674090652,0.9151953825276167
79,0.24941804215425473,0.1335951292533616,0.10087363977443363,0.5109901668695779,0.005123021948372288,1367,192,7773,225,0.8586683417085427,0.024105461393596987,0.876844130853111,0.975894538606403,0.8676610599809583,0.8416077547976525,0.9172814401574728
80,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1376,192,7756,230,0.8567870485678705,0.02415702063412179,0.8775510204081632,0.9758429793658782,0.867044738500315,0.8406516830384464,0.9163150139668743
81,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1376,186,7775,234,0.8546583850931677,0.023363899007662354,0.8809218950064021,0.9766361009923377,0.8675914249684742,0.8414377423894462,0.9156472430427527
82,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1378,185,7741,236,0.8537794299876085,0.023340903356043403,0.8816378758797185,0.9766590966439566,0.867485048788165,0.841176252333819,0.9152192633157825
83,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1373,194,7776,237,0.8527950310559006,0.024341279799247176,0.8761965539246969,0.9756587202007528,0.8643374252439407,0.8374874310303974,0.9142268756283267
84,0.24941804215425473,0.1335951292533616,0.10087363977443363,0.5109901668695779,0.005123021948372288,1376,189,7758,224,0.86,0.02378255945639864,0.8792332268370607,0.9762174405436014,0.8695102685624012,0.8436606366018736,0.9181087202718007
85,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1366,189,7767,246,0.847394540942928,0.023755656108597284,0.8784565916398713,0.9762443438914027,0.8626460372592357,0.8356106756379849,0.9118194424171653
86,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1386,181,7767,234,0.8555555555555555,0.022773024660291897,0.8844926611359285,0.9772269753397081,0.8697834954502666,0.8439396852565635,0.9163912654476318
87,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1373,191,7770,227,0.858125,0.0239919608089436,0.8778772378516624,0.9760080391910564,0.8678887484197219,0.8417772890927302,0.9170665195955282
88,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1384,187,7764,226,0.8596273291925466,0.023519054207017984,0.8809675366008911,0.9764809457929821,0.8701666142722414,0.8443545621072273,0.9180541374927643
89,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1378,189,7786,228,0.8580323785803238,0.023699059561128527,0.8793873643905552,0.9763009404388715,0.8685786322092656,0.8425943380555757,0.9171666595095976
90,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1374,191,7791,236,0.853416149068323,0.023928839889751943,0.8779552715654952,0.9760711601102481,0.8655118110236221,0.8389667384406961,0.9147436545892855
91,0.24941804215425473,0.1335951292533616,0.10087363977443363,0.5109901668695779,0.005123021948372288,1382,192,7769,220,0.8626716604244694,0.02411757316919985,0.8780177890724269,0.9758824268308002,0.8702770780856423,0.8444959542977593,0.9192770436276347
92,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1379,192,7774,231,0.8565217391304348,0.024102435350238514,0.8777848504137492,0.9758975646497615,0.8670229487582521,0.8406330708682871,0.9162096518900982
93,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1367,187,7782,241,0.8501243781094527,0.023465930480612372,0.8796653796653797,0.9765340695193876,0.8646426312460468,0.8380639131797827,0.9133292238144202
94,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1376,188,7768,232,0.8557213930348259,0.023629964806435394,0.8797953964194374,0.9763700351935646,0.8675914249684741,0.8413914407318328,0.9160457141141952
95,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1372,188,7761,244,0.849009900990099,0.02365077368222418,0.8794871794871795,0.9763492263177759,0.8639798488664987,0.8370991823781927,0.9126795636539374
96,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1379,187,7761,237,0.8533415841584159,0.023527931555108204,0.8805874840357599,0.9764720684448918,0.8667504714016342,0.8403178801869547,0.9149068263016538
97,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1370,189,7764,240,0.8509316770186336,0.023764617125612977,0.8787684413085312,0.976235382874387,0.8646260650047335,0.8379055420704683,0.9135835299465103
98,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1355,192,7778,235,0.8522012578616353,0.02409033877038896,0.8758888170652877,0.9759096612296111,0.8638826904686006,0.8372853756632416,0.9140554595456232
99,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1375,191,7801,231,0.8561643835616438,0.023898898898898898,0.8780332056194126,0.9761011011011012,0.8669609079445145,0.8407263581236828,0.9161327423313725
100,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1383,187,7768,225,0.8600746268656716,0.023507228158390948,0.880891719745223,0.9764927718416091,0.8703587161736942,0.844616025783801,0.9182836993536403
101,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1387,187,7763,229,0.8582920792079208,0.02352201257861635,0.8811944091486659,0.9764779874213837,0.8695924764890284,0.8436086197217101,0.9173850333146523
102,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1370,186,7754,238,0.8519900497512438,0.023425692695214106,0.8804627249357326,0.9765743073047859,0.865992414664981,0.8395508129420589,0.9142821785280149
103,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1386,188,7773,226,0.8598014888337469,0.023615123728174852,0.8805590851334181,0.9763848762718251,0.8700564971751413,0.8442074879387902,0.918093182552786
104,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1390,191,7752,220,0.8633540372670807,0.024046330101976585,0.879190385831752,0.9759536698980235,0.871200250705108,0.8454284344906672,0.919653853582552
105,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1376,187,7752,232,0.8557213930348259,0.023554603854389723,0.8803582853486884,0.9764453961456103,0.8678650268054241,0.84167911246639,0.916083394590218
106,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1375,188,7772,231,0.8561643835616438,0.023618090452261306,0.8797184900831734,0.9763819095477387,0.8677816345850426,0.8416505243989335,0.9162731465546913
107,0.24941804215425473,0.1335951292533616,0.10087363977443363,0.5109901668695779,0.005123021948372288,1366,199,7820,230,0.8558897243107769,0.02481606185309889,0.8728434504792332,0.9751839381469011,0.8642834546029736,0.8376468476377549,0.915536831228839
108,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1379,188,7776,231,0.8565217391304348,0.023606228026117528,0.8800255264837269,0.9763937719738824,0.8681145734970098,0.8419961410400558,0.9164577555521587
109,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1385,186,7767,219,0.8634663341645885,0.023387400980761978,0.8816040738383195,0.976612599019238,0.8724409448818897,0.8471006631215912,0.9200394665919133
110,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1382,191,7759,224,0.8605230386052304,0.024025157232704403,0.8785759694850604,0.9759748427672956,0.8694558037118592,0.8434779895212229,0.9182489406862631
111,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1394,185,7769,216,0.8658385093167702,0.023258737742016596,0.882837238758708,0.9767412622579834,0.874255252430229,0.8491574703245857,0.9212898857873768
112,0.24941804215425473,0.1335951292533616,0.10087363977443363,0.5109901668695779,0.005123021948372288,1383,194,7779,219,0.8632958801498127,0.02433212090806472,0.8769816106531388,0.9756678790919353,0.8700849323686695,0.8442650134028987,0.919481879620874
113,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1370,189,7764,240,0.8509316770186336,0.023764617125612977,0.8787684413085312,0.976235382874387,0.8646260650047335,0.8379055420704683,0.9135835299465103
114,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1371,197,7784,235,0.8536737235367372,0.024683623606064402,0.8743622448979592,0.9753163763939356,0.8638941398865785,0.8369849213503441,0.9144950499653364
115,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1361,193,7792,241,0.8495630461922596,0.02417031934877896,0.8758043758043758,0.975829680651221,0.8624841571609632,0.8355356082291532,0.9126963634217403
116,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1387,186,7757,231,0.8572311495673671,0.023416845020773007,0.8817546090273363,0.976583154979227,0.8693199623942337,0.8432716343075823,0.916907152273297
117,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1383,189,7761,223,0.861145703611457,0.023773584905660377,0.8797709923664122,0.9762264150943396,0.8703587161736942,0.8445751446704565,0.9186860593528983
118,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1371,186,7770,243,0.8494423791821561,0.023378582202111614,0.8805394990366089,0.9766214177978884,0.8647114474929044,0.8380518014862228,0.9130318984900223
119,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1374,187,7759,232,0.8555417185554172,0.023533853511200603,0.8802049967969251,0.9764661464887994,0.8676981370382065,0.8415355472418856,0.9160039325221083
120,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1389,189,7749,227,0.8595297029702971,0.023809523809523808,0.8802281368821293,0.9761904761904762,0.8697557921102068,0.8437058145048635,0.9178600895803866
121,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1381,188,7743,227,0.8588308457711443,0.023704450888916907,0.8801784576163161,0.9762955491110831,0.8693736229146994,0.8433708280169732,0.9175631974411137
122,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1380,183,7762,226,0.8592777085927771,0.02303335431088735,0.8829174664107485,0.9769666456891126,0.8709372041653518,0.8453847375522284,0.9181221771409449
123,0.15395925431880594,0.051055431277805804,0.05000241812996646,0.7404488820437004,0.004534014229721322,1368,198,7783,236,0.8528678304239401,0.024808921187821076,0.8735632183908046,0.9751910788121789,0.8630914826498423,0.8360573822191321,0.9140294546180595
124,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1366,187,7776,238,0.8516209476309227,0.02348361170413161,0.8795878943979395,0.9765163882958684,0.8653785239151093,0.8389431026101404,0.9140686679633956
125,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1376,189,7755,232,0.8557213930348259,0.02379154078549849,0.8792332268370607,0.9762084592145015,0.8673179955877719,0.8410084032127242,0.9159649261246636
126,0.24941804215425473,0.1335951292533616,0.10087363977443363,0.5109901668695779,0.005123021948372288,1379,189,7790,219,0.8629536921151439,0.023687178844466725,0.8794642857142857,0.9763128211555333,0.8711307643714467,0.8456688604635225,0.9196332566353387
127,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1365,188,7786,235,0.853125,0.023576624028091298,0.8789439793947199,0.9764233759719088,0.8658420551855376,0.8395369947886633,0.9147741879859543
128,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1377,196,7788,227,0.8584788029925187,0.024549098196392786,0.8753973299427845,0.9754509018036072,0.8668555240793202,0.8404768683298502,0.9169648523980629
129,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1380,188,7766,224,0.8603491271820449,0.023635906462157404,0.8801020408163265,0.9763640935378426,0.8701134930643127,0.8443552104053565,0.9183566103599438
130,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1386,187,7786,226,0.8598014888337469,0.023454157782515993,0.8811188811188811,0.976545842217484,0.8703296703296702,0.8445886570383673,0.9181736655256154
131,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1374,193,7767,238,0.8523573200992556,0.024246231155778893,0.8768347160178686,0.9757537688442212,0.8644227744573766,0.837553362289202,0.9140555444717384
132,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1382,189,7762,234,0.8551980198019802,0.02377059489372406,0.8796944621260344,0.976229405106276,0.8672732977721995,0.8408749511455268,0.9157137124541281
133,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1372,188,7770,240,0.8511166253101737,0.023624026137220408,0.8794871794871795,0.9763759738627796,0.8650693568726356,0.8384362506178547,0.9137462995864767
134,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1371,191,7777,227,0.8579474342928661,0.023970883534136546,0.8777208706786171,0.9760291164658634,0.8677215189873418,0.8416331539090961,0.9169882753793648
