topology,architecture,seed,case_id,committed,view,leader,prepare_votes,commit_votes,started_at,committed_at,view_changes,reason,message_count,bytes_sent,safety_violation
smoke,distributed_rsu_vpuft,1002,case-1002-veh_006-w0003,True,0,rsu-1,4,4,59.02676503942432,59.1447612796236,0,committed,28,10432,False
smoke,distributed_rsu_vpuft,1002,case-1002-veh_008-w0003,True,0,rsu-1,4,4,59.15968117691656,59.196274229778425,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1002,case-1002-veh_010-w0003,True,0,rsu-1,4,4,59.2328665351488,59.27149217765452,0,committed,28,10432,False
smoke,distributed_rsu_vpuft,1002,case-1002-veh_002-w0004,True,0,rsu-1,4,4,74.01763462807023,74.06056448093089,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1002,case-1002-veh_004-w0004,True,0,rsu-1,4,4,74.06516845755228,74.10728451569642,0,committed,29,10784,False
smoke,distributed_rsu_vpuft,1002,case-1002-veh_006-w0004,True,0,rsu-1,4,4,74.0152211396268,74.1421850692689,0,committed,28,10432,False
smoke,distributed_rsu_vpuft,1002,case-1002-veh_008-w0004,True,0,rsu-1,4,4,74.15214445500575,74.18510123137209,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1002,case-1002-veh_010-w0004,True,0,rsu-1,4,4,74.23230024917238,74.2753422426622,0,committed,28,10432,False
smoke,distributed_rsu_vpuft,1002,case-1002-veh_012-w0004,True,0,rsu-1,4,4,74.27836331394452,74.3138746516978,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1002,case-1002-veh_014-w0004,True,0,rsu-1,4,4,74.34467635989212,74.38076892092218,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1002,case-1002-veh_008-w0005,True,0,rsu-1,4,4,89.06298750533252,89.10598698413446,0,committed,28,10432,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_002-w0001,True,0,rsu-1,4,4,29.02596737111482,29.06116713562216,0,committed,28,10432,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_004-w0001,True,0,rsu-1,4,4,29.088896578871736,29.129487385804676,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_008-w0001,True,0,rsu-1,4,4,29.19123126134342,29.236564425003884,0,committed,28,10432,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_012-w0001,True,0,rsu-1,4,4,29.300547104360344,29.34361709673184,0,committed,28,10432,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_002-w0002,True,0,rsu-1,4,4,44.03419171014021,44.07193744226224,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_004-w0002,True,0,rsu-1,4,4,44.08980009278775,44.12593353306739,0,committed,30,11136,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_006-w0002,True,0,rsu-1,4,4,44.12417620945559,44.16206630112784,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_008-w0002,True,0,rsu-1,4,4,44.17409574508165,44.20802401278723,0,committed,28,10432,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_010-w0002,True,0,rsu-1,4,4,44.29570513125419,44.33122511231562,0,committed,28,10432,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_012-w0002,True,0,rsu-1,4,4,44.33519148807204,44.3769207727512,0,committed,31,11488,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_014-w0002,True,0,rsu-1,4,4,44.39092661953312,44.43074062012352,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_002-w0003,True,0,rsu-1,4,4,59.05531611041173,59.09291529302055,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_004-w0003,True,0,rsu-1,4,4,59.11602082898462,59.15551505868377,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_006-w0003,True,0,rsu-1,4,4,59.19798938933604,59.23202532905984,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_008-w0003,True,0,rsu-1,4,4,59.27774943185397,59.31916668798923,0,committed,28,10432,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_010-w0003,True,0,rsu-1,4,4,59.51996612478834,59.56021007073562,0,committed,28,10432,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_012-w0003,True,0,rsu-1,4,4,59.573147916890655,59.60553400359952,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_014-w0003,True,0,rsu-1,4,4,59.68673158188539,59.73175165085774,0,committed,29,10784,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_002-w0004,True,0,rsu-1,4,4,74.04877987724173,74.0875539524877,0,committed,28,10432,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_004-w0004,True,0,rsu-1,4,4,74.1222629848047,74.16019907173214,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_006-w0004,True,0,rsu-1,4,4,74.19464404813633,74.23541036233591,0,committed,28,10432,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_008-w0004,True,0,rsu-1,4,4,74.25350424721633,74.29073222314683,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_010-w0004,True,0,rsu-1,4,4,74.38703726040843,74.42890150086569,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_012-w0004,True,0,rsu-1,4,4,74.45729154819863,74.49552729336844,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_014-w0004,True,0,rsu-1,4,4,74.62766601148915,74.66282291921858,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_008-w0005,True,0,rsu-1,4,4,89.15942031112513,89.1981464696208,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_012-w0005,True,0,rsu-1,4,4,89.26651618823786,89.30677238293045,0,committed,27,10080,False
