topology,architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,cpu_time_seconds,peak_memory_kb,seed
corridor,centralized_vpuft,21,2,131,4,0.9130434782608696,0.84,0.0150375939849624,0.16,0.9849624060150376,0.8749999999999999,0.8536880074557871,8000.0,14153.197379619822,0.0,14058.376892364226,14198.610294600116,14213.979824544762,1.0000000000047748,6915,43.765822784810126,4868160,30811.13924050633,120,5922.512785538984,0.982646420824295,,0,0,0,23,1,0,0,1.6626414000056684,1.640625,6151.4814453125,1001
corridor,distributed_rsu_vpuft,21,2,131,4,0.9130434782608696,0.84,0.0150375939849624,0.16,0.9849624060150376,0.8749999999999999,0.8536880074557871,8000.0,14366.936337780671,44.15129613337001,14160.37814495556,14399.906817451689,14419.501808860909,14.881716983707348,6841,43.29746835443038,4634528,29332.45569620253,147,5450.03005847616,0.978511913462944,1.0,0,0,0,23,1,0,0,1.6741609000018798,1.671875,6139.302734375,1001
corridor,ahmed_inspired_witness_vpuft,22,4,129,3,0.8461538461538461,0.88,0.0300751879699248,0.12,0.9699248120300752,0.8627450980392156,0.836570783400992,8000.0,14851.988619965943,45.83434079283322,14310.452739108963,14889.909616233124,14931.783252206176,13.198525878185484,34256,216.81012658227849,25590948,161968.0253164557,661,3095.6431937193547,0.9807041102288652,1.0,0,0,0,26,1,0,0,5.425962499983143,5.375,19568.2607421875,1001
corridor,centralized_vpuft,21,2,131,4,0.9130434782608696,0.84,0.0150375939849624,0.16,0.9849624060150376,0.8749999999999999,0.8536880074557871,8000.0,14167.602412851404,0.0,14059.496073395658,14203.621697810631,14221.886686212769,1.0000000000047748,6952,44.0,4894208,30976.0,148,5909.467455696505,0.978711162255466,,0,0,0,23,1,0,0,1.6682330999756232,1.671875,6217.5986328125,1002
corridor,distributed_rsu_vpuft,21,2,131,4,0.9130434782608696,0.84,0.0150375939849624,0.16,0.9849624060150376,0.8749999999999999,0.8536880074557871,8000.0,14395.787866202496,42.47184565684563,14161.1015869803,14430.976315557124,14449.611497296895,13.729673538684748,6850,43.35443037974684,4641920,29379.240506329115,147,5460.27565771434,0.9785401459854016,1.0,0,0,0,23,1,0,0,1.684763600002043,1.65625,6193.6650390625,1002
corridor,ahmed_inspired_witness_vpuft,24,4,129,1,0.8571428571428571,0.96,0.0300751879699248,0.04,0.9699248120300752,0.9056603773584904,0.888777330115168,8000.0,14858.614293847191,42.98645725425523,14315.631441111993,14900.688310439711,14942.792533644284,15.290685469949493,34373,217.5506329113924,25662308,162419.67088607594,701,3091.727793283789,0.979576993570535,1.0,0,0,0,28,1,0,0,4.717794299998786,4.671875,19527.6591796875,1002
corridor,centralized_vpuft,22,2,131,3,0.9166666666666666,0.88,0.0150375939849624,0.12,0.9849624060150376,0.8979591836734694,0.8794983658474717,8000.0,14151.880401849128,0.0,14060.806109343335,14195.63990116953,14212.14584889949,1.0000000000047748,6931,43.86708860759494,4879424,30882.430379746835,138,5917.026750541348,0.9800894531813592,,0,0,0,24,1,0,0,1.6319366999669,1.640625,6157.880859375,1003
corridor,distributed_rsu_vpuft,22,2,131,3,0.9166666666666666,0.88,0.0150375939849624,0.12,0.9849624060150376,0.8979591836734694,0.8794983658474717,8000.0,14370.73538758952,41.44663022205072,14161.159263246976,14404.776456310898,14419.695044887343,18.00420395113988,6853,43.37341772151899,4639648,29364.86075949367,130,5449.399568276911,0.9810302057493068,1.0,0,0,0,24,1,0,0,1.803050299989991,1.796875,6144.1875,1003
corridor,ahmed_inspired_witness_vpuft,22,4,129,3,0.8461538461538461,0.88,0.0300751879699248,0.12,0.9699248120300752,0.8627450980392156,0.836570783400992,8000.0,14845.693203197492,41.76276671858581,14305.129026749128,14887.087553160249,14943.981409857604,15.503058127420031,34308,217.13924050632912,25632932,162233.74683544305,689,3098.3872692074474,0.9799172204733588,1.0,0,0,0,26,1,0,0,4.515772400016431,4.515625,19407.7138671875,1003
corridor,centralized_vpuft,22,2,131,3,0.9166666666666666,0.88,0.0150375939849624,0.12,0.9849624060150376,0.8979591836734694,0.8794983658474717,8000.0,14159.49579781049,0.0,14059.459632441878,14209.400152655197,14238.265604791824,1.0000000000047748,6954,44.0126582278481,4895616,30984.91139240506,148,5907.696424504184,0.9787172850158182,,0,0,0,24,1,0,0,1.5926029000547717,1.59375,6160.4375,1004
corridor,distributed_rsu_vpuft,22,2,131,3,0.9166666666666666,0.88,0.0150375939849624,0.12,0.9849624060150376,0.8979591836734694,0.8794983658474717,8000.0,14362.42625022417,43.461849894895366,14159.729380085317,14398.035951300111,14414.82620230439,15.757098250501398,6857,43.39873417721519,4639456,29363.645569620254,122,5449.05103797484,0.9822079626658888,1.0,0,0,0,24,1,0,0,1.640934599970933,1.640625,6149.4912109375,1004
corridor,ahmed_inspired_witness_vpuft,23,4,129,2,0.8518518518518519,0.92,0.0300751879699248,0.08,0.9699248120300752,0.8846153846153846,0.8628426628216331,8000.0,14871.474893063049,44.30296806964691,14305.815176429476,14906.392845018649,14973.678517663846,13.961644846901322,34350,217.40506329113924,25655628,162377.3924050633,720,3097.4810776393933,0.97901018922853,1.0,0,0,0,27,1,0,0,4.60533900000155,4.5625,19375.373046875,1004
corridor,centralized_vpuft,22,2,131,3,0.9166666666666666,0.88,0.0150375939849624,0.12,0.9849624060150376,0.8979591836734694,0.8794983658474717,8000.0,14162.473210496582,0.0,14064.542761571836,14198.139002090877,14219.012465194826,1.0000000000047748,6954,44.0126582278481,4895616,30984.91139240506,146,5921.405517400359,0.9790048892723612,,0,0,0,24,1,0,0,1.608163099968806,1.625,6146.015625,1005
corridor,distributed_rsu_vpuft,22,2,131,3,0.9166666666666666,0.88,0.0150375939849624,0.12,0.9849624060150376,0.8979591836734694,0.8794983658474717,8000.0,14386.40192639761,42.3777057665168,14177.616128079486,14424.43792320439,14435.406815095894,17.458034776878147,6867,43.462025316455694,4646080,29405.569620253165,135,5455.504542021567,0.980340760157274,1.0,0,0,0,24,1,0,0,1.6263340000296012,1.609375,6142.4345703125,1005
corridor,ahmed_inspired_witness_vpuft,22,4,129,3,0.8461538461538461,0.88,0.0300751879699248,0.12,0.9699248120300752,0.8627450980392156,0.836570783400992,8000.0,14861.649727544793,46.5334676974507,14326.174275779344,14898.013375667497,14968.24314843318,16.235742572130007,34275,216.93037974683543,25606944,162069.2658227848,665,3110.173611251567,0.9805981035740337,1.0,0,0,0,26,1,0,0,5.1816592999966815,5.1875,19522.2998046875,1005
corridor,centralized_vpuft,21,2,131,4,0.9130434782608696,0.84,0.0150375939849624,0.16,0.9849624060150376,0.8749999999999999,0.8536880074557871,8000.0,14144.58914487602,0.0,14060.258079384868,14195.899227756348,14211.593170492522,1.0000000000047748,6923,43.81645569620253,4873792,30846.78481012658,131,5916.909616062701,0.981077567528528,,0,0,0,23,1,0,0,1.59328860003734,1.578125,6201.4423828125,1006
corridor,distributed_rsu_vpuft,21,2,131,4,0.9130434782608696,0.84,0.0150375939849624,0.16,0.9849624060150376,0.8749999999999999,0.8536880074557871,8000.0,14350.20364225498,42.398916162193245,14170.42647526708,14389.089285513388,14413.946333090234,15.174342621074288,6829,43.221518987341774,4628512,29294.37974683544,138,5459.843123162999,0.979792063259628,1.0,0,0,0,23,1,0,0,1.6255623999750242,1.609375,6179.150390625,1006
corridor,ahmed_inspired_witness_vpuft,22,4,129,3,0.8461538461538461,0.88,0.0300751879699248,0.12,0.9699248120300752,0.8627450980392156,0.836570783400992,8000.0,14857.509898125392,45.349221165384535,14325.014191206876,14897.501935066908,14974.065846980297,15.848135449125778,34324,217.2405063291139,25641704,162289.2658227848,705,3099.1377531210223,0.979460435846638,1.0,0,0,0,26,1,0,0,4.979913000017405,4.90625,19501.7353515625,1006
