topology,architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,seed,cpu_time_seconds,peak_memory_kb,fault_activated_count,semantic_invalid_proposals,validator_recheck_failures,evidence_guard_checks,evidence_guard_rejections
grid,distributed_extension_honest,20.5,2.0,113.8,4.5,0.9107745153397329,0.8197753623188406,0.01727810406861475,0.1802246376811594,0.9827218959313851,0.8624246678684369,0.8367422828546005,8039.9999999999945,14436.701901319422,182.40771482957234,14217.106014226641,14528.077410731008,14604.40811352171,15.866225195325345,4291.3,30.47695651743025,5987587.2,42525.45520581993,84.0,4125.784630812233,0.9804205907913703,1.0,0.0,0.0,0.0,22.5,1.0,0.0,0.0,2.689882000000216,1005.5,2.634375,4733.941015625,0.0,0.0,0.0,0.0,0.0
grid,distributed_extension_malicious_validator,20.5,2.0,113.8,4.5,0.9107745153397329,0.8197753623188406,0.01727810406861475,0.1802246376811594,0.9827218959313851,0.8624246678684369,0.8367422828546005,8039.9999999999945,14579.309378951939,274.33041644222516,14312.047651644481,14757.675302949487,14860.37404837227,15.373452938391699,4310.7,30.61488590176151,5970339.2,42402.9441286685,84.5,4157.314443853504,0.980392570405559,1.0,0.0,0.0,6.3,22.5,1.0,0.0,0.0,2.684580239999923,1005.5,2.621875,4733.39541015625,6.3,6.3,0.0,0.0,0.0
intersection,distributed_extension_concealment_rsu,14.7,2.0,114.9,10.8,0.880065359477124,0.5767692307692307,0.01711177072685692,0.42323076923076924,0.982888229273143,0.6964967722766928,0.666555617186807,8009.999999999997,14336.688892865743,767.3038523379713,14211.580718376481,14442.324587020785,14507.495632338629,14.997068708518544,9346.9,65.63272127728263,9819177.6,68961.9416682994,184.9,5531.616703722127,0.980214641171328,1.0,0.0,0.0,0.0,16.7,1.0,0.0,0.0,3.937949389999267,1005.5,3.884375,9284.65537109375,0.0,0.0,0.0,0.0,0.0
intersection,distributed_extension_false_accusation_rsu,19.7,3.2,113.7,5.8,0.8608162996423866,0.7724615384615385,0.027362186807040077,0.22753846153846152,0.9726378131929598,0.8136840090337708,0.7778104027369926,8009.999999999997,14600.333131966388,197.6753809992158,14273.92091814639,14724.691432876576,14778.09739037608,15.516230244878457,9940.8,69.80249126680765,13020528.0,91428.57782434394,196.2,5561.450176901776,0.9802579993689825,1.0,0.0,0.0,0.0,22.9,1.0,0.0,0.0,5.243563630001153,1005.5,5.1484375,9730.0806640625,0.0,0.0,0.0,0.0,0.0
intersection,distributed_extension_guard_false_accusation_rsu,19.0,2.0,114.9,6.5,0.904500975759557,0.7450769230769231,0.01711177072685692,0.2549230769230769,0.982888229273143,0.8166071178282094,0.7869194589947397,8009.999999999997,14573.62452925211,200.30436936798702,14277.526818826746,14709.065198925173,14766.725091638978,15.729801869038642,9873.7,69.33111802175782,12731897.6,89402.8068242988,195.6,5578.962932926557,0.9801863504980212,1.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,5.371994989998347,1005.5,5.26875,9706.97294921875,0.0,0.0,0.0,83.7,1.9
intersection,distributed_extension_guard_honest,19.0,2.0,114.9,6.5,0.904500975759557,0.7450769230769231,0.01711177072685692,0.2549230769230769,0.982888229273143,0.8166071178282094,0.7869194589947397,8009.999999999997,14573.471772458031,200.27137879975817,14275.533998182855,14704.489526670168,14755.081721831351,15.508273608695973,9395.9,65.97585896456289,12381539.2,86939.77774052406,185.4,5416.625091199016,0.9802630396611433,1.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,5.205151319998549,1005.5,5.1234375,9252.53427734375,0.0,0.0,0.0,77.8,0.7
intersection,distributed_extension_honest,19.7,2.0,114.9,5.8,0.9076359872012046,0.7724615384615385,0.01711177072685692,0.22753846153846152,0.982888229273143,0.8342751420642263,0.8056887320424053,8009.999999999997,14606.685538330454,214.47722245290038,14277.405401574939,14717.508721220558,14768.895284917162,15.515514576959504,9421.1,66.15334139422991,12452979.2,87443.70915261145,186.1,5420.962664438997,0.9802398689079264,1.0,0.0,0.0,0.0,21.7,1.0,0.0,0.0,4.989461229997687,1005.5,4.89375,9259.127734375,0.0,0.0,0.0,0.0,0.0
intersection,distributed_extension_malicious_validator,19.7,2.0,114.9,5.8,0.9076359872012046,0.7724615384615385,0.01711177072685692,0.22753846153846152,0.982888229273143,0.8342751420642263,0.8056887320424053,8009.999999999997,14764.39307513671,241.6724101486945,14388.302811915264,14942.377131777592,15046.233261147165,15.792650478181434,9443.2,66.30865185720782,12457344.0,87482.61374280232,186.6,5468.817066604546,0.9802331132649573,1.0,0.0,0.0,7.2,21.7,1.0,0.0,0.0,5.063280660001328,1005.5,4.9796875,9256.2607421875,7.2,7.2,0.0,0.0,0.0
smoke,distributed_extension_concealment_rsu,13.8,2.1,130.9,11.2,0.8681862745098039,0.552,0.01578947368421052,0.44800000000000006,0.9842105263157895,0.6747154471544716,0.6505216120346969,8000.0,14244.93896729311,183.93000395765307,14155.515609717226,14328.330239432853,14371.759446112115,15.187453100559267,4145.2,26.235443037974687,4304060.8,27240.891139240506,81.4,4528.138970324475,0.9803619316624497,1.0,0.0,0.0,0.0,15.9,1.0,0.0,0.0,1.9599806499987609,1005.5,1.9375,4653.80419921875,0.0,0.0,0.0,0.0,0.0
smoke,distributed_extension_false_accusation_rsu,19.6,2.7,130.3,5.4,0.8792725390551478,0.784,0.020300751879699243,0.21600000000000003,0.9796992481203007,0.828489934364125,0.800569725903072,8000.0,14434.79589630678,183.55039600881247,14198.031060309371,14496.216095430564,14583.238879282402,15.171378558688213,4815.1,30.475316455696202,5877996.8,37202.51139240507,95.3,4502.364052178145,0.9802159361393874,1.0,0.0,0.0,0.0,22.3,1.0,0.0,0.0,2.5634556599979987,1005.5,2.5171875,5176.55009765625,0.0,0.0,0.0,0.0,0.0
smoke,distributed_extension_guard_false_accusation_rsu,10.3,2.0,131.0,14.7,0.8355777555777555,0.41200000000000003,0.0150375939849624,0.588,0.9849624060150376,0.5505835274256327,0.539456833970063,8000.0,14263.02667652688,140.11069478713515,14134.902591298387,14360.272976660423,14413.24412444451,15.13686964691276,4458.3,28.21708860759494,4344422.4,27496.344303797472,88.5,4817.434635916083,0.9801568473893957,1.0,0.0,0.0,0.0,12.3,1.0,0.0,0.0,2.0363746800037914,1005.5,1.9953125,5027.596484375,0.0,0.0,0.0,26.7,10.0
smoke,distributed_extension_guard_honest,10.3,2.0,131.0,14.7,0.8355777555777555,0.41200000000000003,0.0150375939849624,0.588,0.9849624060150376,0.5505835274256327,0.539456833970063,8000.0,14258.78414242666,135.94666661559916,14132.735328434632,14349.41945580198,14398.479265014708,15.899886950278733,3914.7,24.776582278481015,3930118.4,24874.167088607595,76.9,4579.023524542978,0.9803654993766788,1.0,0.0,0.0,0.0,12.3,1.0,0.0,0.0,1.829804450001393,1005.5,1.790625,4496.28408203125,0.0,0.0,0.0,26.0,9.4
smoke,distributed_extension_honest,19.6,2.1,130.9,5.4,0.9031714662149446,0.784,0.01578947368421052,0.21600000000000003,0.9842105263157895,0.8391073080481035,0.8144092736351979,8000.0,14450.25033750659,188.55872204318638,14202.65606695988,14514.582371289358,14597.541055645444,15.204534237105952,4250.1,26.899367088607598,5424585.6,34332.82025316455,83.3,4265.7137358179125,0.9804063075923549,1.0,0.0,0.0,0.0,21.7,1.0,0.0,0.0,2.412944229997811,1005.5,2.3921875,4631.58115234375,0.0,0.0,0.0,0.0,0.0
smoke,distributed_extension_malicious_validator,19.6,2.1,130.9,5.4,0.9031714662149446,0.784,0.01578947368421052,0.21600000000000003,0.9842105263157895,0.8391073080481035,0.8144092736351979,8000.0,14735.596489714164,379.874328114012,14386.572318286911,14922.830966236686,15015.326531059432,15.334084548213962,4286.0,27.12658227848101,5422953.6,34322.491139240505,83.5,4277.423253811577,0.9805234576197792,1.0,0.0,0.0,11.9,21.7,1.0,0.0,0.0,2.4008540000009817,1005.5,2.35625,4626.76943359375,11.9,11.9,0.0,0.0,0.0
