architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,seed,topology,cpu_time_seconds,peak_memory_kb,fault_activated_count,semantic_invalid_proposals,validator_recheck_failures,evidence_guard_checks,evidence_guard_rejections
distributed_extension_honest,20,2,131,5,0.9090909090909092,0.8,0.0150375939849624,0.2,0.9849624060150376,0.8510638297872342,0.8274921602653108,8000.0,14530.9058618907,209.67696243236804,14225.696565911914,14586.686178119297,14637.31464519945,14.853554830910907,4269,27.018987341772156,5508160,34861.77215189873,85,4224.62707846699,0.9800890138205668,1.0,0,0,0,22,1,0,0,2.4511524999979883,1006,smoke,2.453125,4608.3876953125,0,0,0,0,0
distributed_extension_false_accusation_rsu,20,3,130,5,0.8695652173913043,0.8,0.0225563909774436,0.2,0.9774436090225564,0.8333333333333333,0.8045145823088624,8000.0,14497.86059679155,203.3103392264017,14210.944944122077,14556.337771410572,14653.476130785044,15.43654824189531,4848,30.68354430379747,6042464,38243.443037974685,97,4447.202235972457,0.9799917491749176,1.0,0,0,0,23,1,0,0,2.5727728999918327,1006,smoke,2.546875,5137.650390625,0,0,0,0,0
distributed_extension_concealment_rsu,14,2,131,11,0.875,0.56,0.0150375939849624,0.44,0.9849624060150376,0.6829268292682927,0.6592622449481736,8000.0,14344.995174411575,200.97963199931175,14162.225684644336,14452.26185797258,14459.325465636924,14.019059790280508,4158,26.31645569620253,4518848,28600.303797468358,84,4426.932812192234,0.9797979797979798,1.0,0,0,0,16,1,0,0,2.105931800004328,1006,smoke,2.078125,4635.896484375,0,0,0,0,0
distributed_extension_malicious_validator,20,2,131,5,0.9090909090909092,0.8,0.0150375939849624,0.2,0.9849624060150376,0.8510638297872342,0.8274921602653108,8000.0,14797.612272109378,413.94079126764495,14411.42234723835,14982.828653883098,15189.58881331184,16.385498530909892,4302,27.227848101265824,5431200,34374.6835443038,85,4236.743563155756,0.9802417480241749,1.0,0,0,11,22,1,0,0,2.4859814000083134,1006,smoke,2.453125,4615.990234375,11,11,0,0,0
distributed_extension_guard_honest,10,2,131,15,0.8333333333333334,0.4,0.0150375939849624,0.6,0.9849624060150376,0.5405405405405406,0.5303310974171689,8000.0,14298.530497224125,118.64678910330822,14127.342896930177,14387.84065976066,14418.864636226284,14.416555572349308,3913,24.76582278481013,3800576,24054.278481012658,79,4523.229433905679,0.979810886787631,1.0,0,0,0,12,1,0,0,1.818921700003557,1006,smoke,1.796875,4493.1845703125,0,0,0,25,10
distributed_extension_guard_false_accusation_rsu,10,2,131,15,0.8333333333333334,0.4,0.0150375939849624,0.6,0.9849624060150376,0.5405405405405406,0.5303310974171689,8000.0,14301.923500535857,114.87962733241942,14127.189140621676,14393.917514555498,14425.485800967184,16.085095223009205,4454,28.18987341772152,4178528,26446.37974683544,88,4761.40458363042,0.9802424786708576,1.0,0,0,0,12,1,0,0,1.9504333000077168,1006,smoke,1.9375,5011.068359375,0,0,0,26,11
distributed_extension_honest,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14454.20598460261,198.04434323388875,14212.446763209662,14515.55554818964,14628.514285597656,16.472666773324818,4222,26.72151898734177,5320448,33673.72151898734,96,4199.50465337273,0.9772619611558504,1.0,0,0,0,21,1,0,0,2.3553811999881877,1007,smoke,2.328125,4581.765625,0,0,0,0,0
distributed_extension_false_accusation_rsu,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14416.078741470585,177.2257164823401,14191.07904127752,14476.965343084205,14578.15557696677,15.110176791331751,4761,30.132911392405063,5670208,35887.39240506329,103,4448.991080076971,0.9783658895190086,1.0,0,0,0,21,1,0,0,2.5146787999983644,1007,smoke,2.515625,5098.4833984375,0,0,0,0,0
distributed_extension_concealment_rsu,13,2,131,12,0.8666666666666667,0.52,0.0150375939849624,0.48,0.9849624060150376,0.65,0.6286967612254791,8000.0,14228.08329030148,175.0809031059013,14142.874411520275,14307.965405974292,14393.525777283365,15.174563697483734,4111,26.018987341772156,4118208,26064.607594936708,95,4452.534159759497,0.9768912673315496,1.0,0,0,0,15,1,0,0,1.9322520999994597,1007,smoke,1.90625,4609.8369140625,0,0,0,0,0
distributed_extension_malicious_validator,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14792.295387879803,421.630219857164,14404.420155241543,14964.340088399687,15056.654782992506,13.209042011766314,4255,26.93037974683544,5312288,33622.07594936709,96,4218.622108871552,0.9774383078730904,1.0,0,0,11,21,1,0,0,2.341070199996466,1007,smoke,2.328125,4589.4931640625,11,11,0,0,0
distributed_extension_guard_honest,11,2,131,14,0.8461538461538461,0.44,0.0150375939849624,0.56,0.9849624060150376,0.5789473684210525,0.5644047495599777,8000.0,14275.937018322811,134.35781932797815,14137.882834404558,14381.795576431796,14423.624140437774,13.85984130331934,3937,24.917721518987346,4132256,26153.518987341773,91,4479.508643182402,0.9768859537719076,1.0,0,0,0,13,1,0,0,1.9072729000035904,1007,smoke,1.890625,4491.7919921875,0,0,0,24,8
distributed_extension_guard_false_accusation_rsu,11,2,131,14,0.8461538461538461,0.44,0.0150375939849624,0.56,0.9849624060150376,0.5789473684210525,0.5644047495599777,8000.0,14279.754328697856,143.9537854890246,14136.594849577705,14387.255147654716,14434.40309717421,13.324978013791622,4477,28.335443037974684,4527232,28653.3670886076,99,4712.592293250322,0.977886977886978,1.0,0,0,0,13,1,0,0,2.035307300000568,1007,smoke,2.03125,5008.6357421875,0,0,0,24,8
distributed_extension_honest,21,2,131,4,0.9130434782608696,0.84,0.0150375939849624,0.16,0.9849624060150376,0.8749999999999999,0.8536880074557871,8000.0,14438.257529392911,168.27107676847604,14204.093150197728,14500.330394337285,14565.267665511135,15.516178474579688,4281,27.09493670886076,5476832,34663.49367088608,86,4236.91445567199,0.9799112356925952,1.0,0,0,0,23,1,0,0,2.419384199994965,1008,smoke,2.390625,4597.4560546875,0,0,0,0,0
distributed_extension_false_accusation_rsu,21,3,130,4,0.875,0.84,0.0225563909774436,0.16,0.9774436090225564,0.8571428571428572,0.8311810008252531,8000.0,14432.046706048384,181.07199680937853,14199.54695342583,14496.829064588166,14571.92346379238,15.591187555325092,4859,30.753164556962027,5961408,37730.43037974684,97,4460.6503285437,0.9800370446593948,1.0,0,0,0,24,1,0,0,2.6045888000080595,1008,smoke,2.609375,5126.6943359375,0,0,0,0,0
distributed_extension_concealment_rsu,14,2,131,11,0.875,0.56,0.0150375939849624,0.44,0.9849624060150376,0.6829268292682927,0.6592622449481736,8000.0,14223.790242576844,169.1699887787692,14162.42688646162,14296.987073300526,14337.196032078582,15.53719278201715,4135,26.170886075949365,4242592,26851.848101265823,85,4554.832759278998,0.9794437726723096,1.0,0,0,0,16,1,0,0,1.9433430999924892,1008,smoke,1.9375,4610.4794921875,0,0,0,0,0
distributed_extension_malicious_validator,21,2,131,4,0.9130434782608696,0.84,0.0150375939849624,0.16,0.9849624060150376,0.8749999999999999,0.8536880074557871,8000.0,14773.936157257249,293.04588975012746,14392.866860683658,14968.248343943407,14985.334208374365,16.224523985551187,4320,27.34177215189873,5500480,34813.16455696202,86,4252.821658226017,0.9800925925925926,1.0,0,0,13,23,1,0,0,2.434386699998868,1008,smoke,2.421875,4606.486328125,13,13,0,0,0
distributed_extension_guard_honest,11,2,131,14,0.8461538461538461,0.44,0.0150375939849624,0.56,0.9849624060150376,0.5789473684210525,0.5644047495599777,8000.0,14233.630421700786,134.87052444327634,14140.899848179955,14317.702385239536,14387.953678087651,17.625937005410456,3926,24.848101265822784,3851360,24375.69620253165,81,4587.04518241983,0.9793683138054,1.0,0,0,0,13,1,0,0,1.7947435000096448,1008,smoke,1.75,4481.91015625,0,0,0,29,10
distributed_extension_guard_false_accusation_rsu,11,2,131,14,0.8461538461538461,0.44,0.0150375939849624,0.56,0.9849624060150376,0.5789473684210525,0.5644047495599777,8000.0,14251.054334211238,141.41779112760267,14130.67764700946,14333.657866416055,14414.546799681617,15.518063952254836,4466,28.26582278481013,4245728,26871.69620253165,89,4821.785313368287,0.9800716524854456,1.0,0,0,0,13,1,0,0,2.554773200012278,1008,smoke,2.53125,5146.95703125,0,0,0,30,11
distributed_extension_honest,20,2,131,5,0.9090909090909092,0.8,0.0150375939849624,0.2,0.9849624060150376,0.8510638297872342,0.8274921602653108,8000.0,14468.691756636625,178.56413097430882,14199.370256531136,14531.80902285488,14599.504051508453,16.216626001818568,4238,26.82278481012658,5393376,34135.29113924051,78,4151.40338721002,0.98159509202454,1.0,0,0,0,22,1,0,0,2.428078400000232,1009,smoke,2.390625,4741.6240234375,0,0,0,0,0
distributed_extension_false_accusation_rsu,20,2,131,5,0.9090909090909092,0.8,0.0150375939849624,0.2,0.9849624060150376,0.8510638297872342,0.8274921602653108,8000.0,14463.79788553146,173.54823721565893,14193.926105770888,14521.51130549478,14611.352355402902,16.216626001818568,4784,30.27848101265823,5938112,37582.98734177216,92,4406.777970068583,0.9807692307692308,1.0,0,0,0,22,1,0,0,2.5565838999900734,1009,smoke,2.5625,5213.8876953125,0,0,0,0,0
distributed_extension_concealment_rsu,14,2,131,11,0.875,0.56,0.0150375939849624,0.44,0.9849624060150376,0.6829268292682927,0.6592622449481736,8000.0,14272.989871828038,193.1712365982552,14153.976338912831,14345.515863258928,14431.15024017713,16.426944990772796,4125,26.10759493670886,4225088,26741.06329113924,75,4413.05929932847,0.9818181818181818,1.0,0,0,0,16,1,0,0,1.9299324000021445,1009,smoke,1.921875,4708.490234375,0,0,0,0,0
distributed_extension_malicious_validator,20,2,131,5,0.9090909090909092,0.8,0.0150375939849624,0.2,0.9849624060150376,0.8510638297872342,0.8274921602653108,8000.0,14796.237793630618,300.2808699940374,14367.720575764735,14970.362985940645,15082.382121059169,16.216626001818568,4274,27.050632911392405,5435872,34404.25316455696,78,4156.512371626365,0.9817501169864296,1.0,0,0,12,22,1,0,0,2.3857534999988275,1009,smoke,2.28125,4640.7529296875,12,12,0,0,0
distributed_extension_guard_honest,12,2,131,13,0.8571428571428571,0.48,0.0150375939849624,0.52,0.9849624060150376,0.6153846153846153,0.5971293263527593,8000.0,14349.348674940517,142.4188220896557,14136.395138788102,14435.860306507191,14471.464860452132,17.28599731686273,3951,25.00632911392405,4215456,26680.101265822785,71,4407.486343416425,0.9820298658567452,1.0,0,0,0,14,1,0,0,1.954473499994492,1009,smoke,1.953125,4514.625,0,0,0,28,8
distributed_extension_guard_false_accusation_rsu,12,2,131,13,0.8571428571428571,0.48,0.0150375939849624,0.52,0.9849624060150376,0.6153846153846153,0.5971293263527593,8000.0,14370.35078769308,141.54235283867925,14142.971615275725,14456.98004161479,14492.145056121608,15.855316601806631,4500,28.481012658227847,4617312,29223.49367088608,88,4643.459062098741,0.9804444444444445,1.0,0,0,0,14,1,0,0,2.093863900008728,1009,smoke,2.046875,5034.9228515625,0,0,0,28,8
distributed_extension_honest,19,3,130,6,0.8636363636363636,0.76,0.0225563909774436,0.24,0.9774436090225564,0.8085106382978724,0.7773987651228131,8000.0,14435.09701441637,192.67359215262053,14193.955296997336,14511.072273824282,14521.772066338235,13.555331964701622,4210,26.64556962025317,5427936,34354.0253164557,63,4339.740088665531,0.9850356294536816,1.0,0,0,0,22,1,0,0,2.4129174999980023,1010,smoke,2.390625,4631.23046875,0,0,0,0,0
distributed_extension_false_accusation_rsu,19,3,130,6,0.8636363636363636,0.76,0.0225563909774436,0.24,0.9774436090225564,0.8085106382978724,0.7773987651228131,8000.0,14448.518873486162,197.34558176111565,14201.662343732472,14518.500392210432,14534.204977954403,14.877513444786317,4753,30.082278481012654,5815136,36804.6582278481,74,4593.787401037631,0.9844308857563644,1.0,0,0,0,22,1,0,0,2.5840354999963893,1010,smoke,2.53125,5148.2802734375,0,0,0,0,0
