factor,delta,alpha_C,alpha_rho,alpha_F,alpha_Q,alpha_eta,TP,FP,TN,FN,recall,frr,precision,specificity,f1,mcc,balanced_accuracy
F,0.05,0.3457613835267683,0.15330401149030848,0.11370517641034751,0.3844035891331561,0.002825839439419607,335,47,1932,67,0.8333333333333334,0.023749368367862556,0.8769633507853403,0.9762506316321374,0.8545918367346937,0.8263418399892304,0.9047919824827354
F,0.1,0.32625538087821543,0.14465542146078536,0.1637051764103475,0.3627176005150429,0.002666420735608698,335,47,1932,67,0.8333333333333334,0.023749368367862556,0.8769633507853403,0.9762506316321374,0.8545918367346937,0.8263418399892304,0.9047919824827354
F,0.15,0.30674937822966264,0.13600683143126224,0.2137051764103475,0.3410316118969298,0.0025070020317977896,334,47,1932,68,0.8308457711442786,0.023749368367862556,0.8766404199475065,0.9762506316321374,0.8531289910600255,0.8246769378208906,0.903548201388208
Q,-0.15,0.45752053727990305,0.2028558915075612,0.07979476855013681,0.2560895777512693,0.0037392249111298046,312,47,1932,90,0.7761194029850746,0.023749368367862556,0.8690807799442897,0.9762506316321374,0.8199737187910644,0.7876433558529283,0.8761850173086061
Q,-0.1,0.42676948691170913,0.18922146151165137,0.07443157117020706,0.3060895777512692,0.0034879026551633756,325,47,1932,77,0.8084577114427861,0.023749368367862556,0.8736559139784946,0.9762506316321374,0.8397932816537468,0.809622847472916,0.8923541715374618
Q,-0.05,0.39601843654351515,0.1755870315157415,0.06906837379027728,0.35608957775126926,0.0032365803991969457,335,47,1932,67,0.8333333333333334,0.023749368367862556,0.8769633507853403,0.9762506316321374,0.8545918367346937,0.8263418399892304,0.9047919824827354
Q,0.05,0.33451633580712725,0.1483181715239218,0.05834197903041774,0.45608957775126924,0.0027339358872640863,335,47,1932,67,0.8333333333333334,0.023749368367862556,0.8769633507853403,0.9762506316321374,0.8545918367346937,0.8263418399892304,0.9047919824827354
Q,0.1,0.3037652854389333,0.13468374152801194,0.05297878165048797,0.5060895777512693,0.0024826136312976568,335,47,1932,67,0.8333333333333334,0.023749368367862556,0.8769633507853403,0.9762506316321374,0.8545918367346937,0.8263418399892304,0.9047919824827354
Q,0.15,0.27301423507073935,0.12104931153210209,0.04761558427055821,0.5560895777512692,0.0022312913753312273,335,47,1932,67,0.8333333333333334,0.023749368367862556,0.8769633507853403,0.9762506316321374,0.8545918367346937,0.8263418399892304,0.9047919824827354
eta,-0.15,0.3659947074699999,0.16227508192808102,0.06383202631027883,0.4068981842916404,0.001,336,47,1932,66,0.835820895522388,0.023749368367862556,0.8772845953002611,0.9762506316321374,0.8560509554140127,0.8280052267183716,0.9060357635772627
eta,-0.1,0.3659947074699999,0.16227508192808102,0.06383202631027883,0.4068981842916404,0.001,336,47,1932,66,0.835820895522388,0.023749368367862556,0.8772845953002611,0.9762506316321374,0.8560509554140127,0.8280052267183716,0.9060357635772627
eta,-0.05,0.3659947074699999,0.16227508192808102,0.06383202631027883,0.4068981842916404,0.001,336,47,1932,66,0.835820895522388,0.023749368367862556,0.8772845953002611,0.9762506316321374,0.8560509554140127,0.8280052267183716,0.9060357635772627
eta,0.05,0.34694933274839423,0.15383072554745522,0.060510380298721946,0.3857243032621982,0.05298525814323052,263,47,1932,139,0.654228855721393,0.023749368367862556,0.8483870967741935,0.9762506316321374,0.7387640449438202,0.7018365615491885,0.8152397436767652
eta,0.1,0.3286312793214673,0.1457088495750788,0.057315584187096376,0.3653590287731271,0.10298525814323052,257,47,1932,145,0.6393034825870647,0.023749368367862556,0.8453947368421053,0.9762506316321374,0.7280453257790369,0.6909507967358369,0.807777057109601
eta,0.15,0.31031322589454036,0.13758697360270236,0.05412078807547081,0.34499375428405604,0.15298525814323052,256,47,1932,146,0.6368159203980099,0.023749368367862556,0.8448844884488449,0.9762506316321374,0.7262411347517731,0.6891273081652404,0.8065332760150736
