architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,topology,vehicle_count,seed,backhaul_extra_latency_ms,cpu_time_seconds,peak_memory_kb,fault_activated_count,invalid_proposal_attempt_count
centralized_remote_100ms,4,1,25,5,0.8,0.4444444444444444,0.038461538461538464,0.5555555555555556,0.9615384615384616,0.5714285714285714,0.5070724870494426,6899.999999999992,14147.715682154845,0.0,14128.77633075237,14153.95635855679,14170.16094019908,1.0000000000012221,1278,36.51428571428571,899712,25706.057142857142,21,3865.4036494522607,0.9835680751173709,,0,0,0,5,1,0,0,0.3919053999998141,urban_roundabout,20,1007,100.0,0.375,1212.0361328125,0,0
distributed_density_honest,4,1,24,5,0.8,0.4444444444444444,0.04,0.5555555555555556,0.96,0.5714285714285714,0.5038092444460225,7699.999999999995,14089.758973230002,72.75741905957034,14085.658023157252,14154.08381075023,14157.693091967538,15.417136604048665,998,29.352941176470587,1062016,31235.764705882353,16,3385.574437074857,0.9839679358717435,1.0,0,0,0,5,1,0,0,0.7862526000026264,urban_roundabout,20,1008,,0.703125,1149.177734375,0,0
centralized_remote_0ms_control,4,1,24,5,0.8,0.4444444444444444,0.04,0.5555555555555556,0.96,0.5714285714285714,0.5038092444460225,7699.999999999995,14037.897868200958,0.0,14028.975158792722,14051.335717559456,14064.229720485271,1.0000000000012221,1262,37.11764705882353,888448,26130.823529411766,23,3898.094630744841,0.9817749603803486,,0,0,0,5,1,0,0,0.49918869999964954,urban_roundabout,20,1008,0.0,0.46875,1194.90234375,0,0
centralized_remote_100ms,4,1,24,5,0.8,0.4444444444444444,0.04,0.5555555555555556,0.96,0.5714285714285714,0.5038092444460225,7699.999999999995,14137.89786820096,0.0,14128.975158792726,14151.335717559457,14164.229720485271,1.0000000000012221,1262,37.11764705882353,888448,26130.823529411766,23,3898.094630744841,0.9817749603803486,,0,0,0,5,1,0,0,0.5042915000012727,urban_roundabout,20,1008,100.0,0.46875,1194.90234375,0,0
distributed_density_honest,4,1,28,5,0.8,0.4444444444444444,0.034482758620689655,0.5555555555555556,0.9655172413793104,0.5714285714285714,0.5156102614533682,12299.999999999996,14094.501768436237,93.93187612068203,14088.980178720703,14186.099533757504,14196.384544793586,13.986805498172572,1060,27.894736842105264,1164896,30655.157894736843,18,3165.9220751280272,0.9830188679245283,1.0,0,0,0,5,1,0,0,0.8008210999978473,urban_roundabout,20,1009,,0.78125,1224.439453125,0,0
centralized_remote_0ms_control,4,1,28,5,0.8,0.4444444444444444,0.034482758620689655,0.5555555555555556,0.9655172413793104,0.5714285714285714,0.5156102614533682,12299.999999999996,14039.669392062659,0.0,14028.551668584296,14051.33028270966,14065.088024728488,1.0000000000012221,1345,35.39473684210526,946880,24917.894736842107,22,4024.9392713754564,0.9836431226765799,,0,0,0,5,1,0,0,0.5110783999989508,urban_roundabout,20,1009,0.0,0.484375,1270.60546875,0,0
centralized_remote_100ms,4,1,28,5,0.8,0.4444444444444444,0.034482758620689655,0.5555555555555556,0.9655172413793104,0.5714285714285714,0.5156102614533682,12299.999999999996,14139.669392062659,0.0,14128.551668584292,14151.330282709658,14165.088024728488,1.0000000000012221,1345,35.39473684210526,946880,24917.894736842107,22,4024.9392713754564,0.9836431226765799,,0,0,0,5,1,0,0,0.5017090999972424,urban_roundabout,20,1009,100.0,0.46875,1258.30078125,0,0
distributed_density_honest,4,1,28,5,0.8,0.4444444444444444,0.034482758620689655,0.5555555555555556,0.9655172413793104,0.5714285714285714,0.5156102614533682,9449.999999999996,14094.723444978816,73.03181275231765,14080.572209597638,14167.701734572382,14174.501794310925,15.06977303332846,1032,27.157894736842106,1117984,29420.63157894737,15,3415.431391725424,0.9854651162790697,1.0,0,0,0,5,1,0,0,0.8805461000010837,urban_roundabout,20,1010,,0.84375,1216.37890625,0,0
centralized_remote_0ms_control,4,1,28,5,0.8,0.4444444444444444,0.034482758620689655,0.5555555555555556,0.9655172413793104,0.5714285714285714,0.5156102614533682,9449.999999999996,14048.501463064515,0.0,14029.562292597408,14061.144886166692,14065.905328875477,1.0000000000012221,1349,35.5,949696,24992.0,21,4000.542719051141,0.9844329132690882,,0,0,0,5,1,0,0,0.5874955999970553,urban_roundabout,20,1010,0.0,0.546875,1390.7509765625,0,0
centralized_remote_100ms,4,1,28,5,0.8,0.4444444444444444,0.034482758620689655,0.5555555555555556,0.9655172413793104,0.5714285714285714,0.5156102614533682,9449.999999999996,14148.501463064516,0.0,14129.562292597406,14161.144886166694,14165.905328875479,1.0000000000012221,1349,35.5,949696,24992.0,21,4000.542719051141,0.9844329132690882,,0,0,0,5,1,0,0,0.46121929999935674,urban_roundabout,20,1010,100.0,0.46875,1281.2080078125,0,0
