topology,vehicle_count,architecture,backhaul_extra_latency_ms,attack_type,seed_count,cases__mean,TP__mean,FP__mean,TN__mean,FN__mean,attack_recall__mean,benign_false_revocation_rate__mean,cases__median,TP__median,FP__median,TN__median,FN__median,attack_recall__median,benign_false_revocation_rate__median,cases__std,TP__std,FP__std,TN__std,FN__std,attack_recall__std,benign_false_revocation_rate__std
urban_roundabout,80,distributed_density_honest,,false_denm,10,3.8,1.1,0.0,0.8,1.9,0.36666666666666664,0.0,4.0,1.0,0.0,1.0,2.0,0.3333333333333333,0.0,0.42163702135578385,0.8755950357709131,0.0,0.4216370213557839,0.8755950357709131,0.29186501192363773,0.0
urban_roundabout,80,distributed_density_honest,,mixed,10,2.6,0.0,0.0,1.3,1.3,0.0,0.0,2.5,0.0,0.0,1.0,1.0,0.0,0.0,0.699205898780101,0.0,0.0,0.4830458915396479,0.4830458915396479,0.0,0.0
urban_roundabout,80,distributed_density_honest,,position_offset,10,2.6,0.0,0.0,2.6,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,,0.0,1.3498971154211057,0.0,0.0,1.3498971154211057,0.0,,0.0
urban_roundabout,80,distributed_density_honest,,replay,10,8.0,4.0,1.9,2.1,0.0,1.0,0.475,8.0,4.0,2.0,2.0,0.0,1.0,0.5,0.0,0.0,0.31622776601683794,0.31622776601683805,0.0,0.0,0.07905694150420949
urban_roundabout,80,distributed_density_honest,,speed_offset,10,5.8,3.9,0.0,0.9,1.0,0.795,0.0,6.0,4.0,0.0,1.0,1.0,0.8,0.0,0.4216370213557839,0.31622776601683794,0.0,0.31622776601683794,0.0,0.015811388300841913,0.0
urban_roundabout,100,centralized_remote_0ms_control,0.0,benign,10,164.0,0.0,0.0,164.0,0.0,,0.0,164.0,0.0,0.0,164.0,0.0,,0.0,1.9436506316150977,0.0,0.0,1.9436506316150977,0.0,,0.0
urban_roundabout,100,centralized_remote_0ms_control,0.0,certificate_tamper,10,3.7,3.0,0.0,0.7,0.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.4830458915396479,0.0,0.0,0.48304589153964794,0.0,0.0,0.0
urban_roundabout,100,centralized_remote_0ms_control,0.0,false_denm,10,5.8,3.0,0.0,1.0,1.8,0.625,0.0,6.0,3.0,0.0,1.0,2.0,0.6,0.0,0.42163702135578407,0.816496580927726,0.0,0.0,0.7888106377466155,0.15855247992033708,0.0
urban_roundabout,100,centralized_remote_0ms_control,0.0,mixed,10,7.8,0.0,0.0,1.4,6.4,0.0,0.0,7.0,0.0,0.0,1.0,6.0,0.0,0.0,1.3165611772087666,0.0,0.0,0.6992058987801011,0.6992058987801011,0.0,0.0
urban_roundabout,100,centralized_remote_0ms_control,0.0,position_offset,10,4.7,0.0,0.0,4.7,0.0,,0.0,4.0,0.0,0.0,4.0,0.0,,0.0,1.636391694484477,0.0,0.0,1.636391694484477,0.0,,0.0
urban_roundabout,100,centralized_remote_0ms_control,0.0,replay,10,9.9,7.1,1.9,0.1,0.8,0.8982142857142857,0.95,10.0,7.0,2.0,0.0,1.0,0.875,1.0,0.31622776601683783,0.5676462121975467,0.31622776601683794,0.31622776601683794,0.4216370213557839,0.05393395852416329,0.15811388300841897
urban_roundabout,100,centralized_remote_0ms_control,0.0,speed_offset,10,5.8,3.7,0.0,0.9,1.2,0.7550000000000001,0.0,6.0,4.0,0.0,1.0,1.0,0.8,0.0,0.6324555320336759,0.4830458915396479,0.0,0.31622776601683794,0.4216370213557839,0.08316649966583102,0.0
urban_roundabout,100,centralized_remote_100ms,100.0,benign,10,164.0,0.0,0.0,164.0,0.0,,0.0,164.0,0.0,0.0,164.0,0.0,,0.0,1.9436506316150977,0.0,0.0,1.9436506316150977,0.0,,0.0
urban_roundabout,100,centralized_remote_100ms,100.0,certificate_tamper,10,3.7,3.0,0.0,0.7,0.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.4830458915396479,0.0,0.0,0.48304589153964794,0.0,0.0,0.0
urban_roundabout,100,centralized_remote_100ms,100.0,false_denm,10,5.8,3.0,0.0,1.0,1.8,0.625,0.0,6.0,3.0,0.0,1.0,2.0,0.6,0.0,0.42163702135578407,0.816496580927726,0.0,0.0,0.7888106377466155,0.15855247992033708,0.0
urban_roundabout,100,centralized_remote_100ms,100.0,mixed,10,7.8,0.0,0.0,1.4,6.4,0.0,0.0,7.0,0.0,0.0,1.0,6.0,0.0,0.0,1.3165611772087666,0.0,0.0,0.6992058987801011,0.6992058987801011,0.0,0.0
urban_roundabout,100,centralized_remote_100ms,100.0,position_offset,10,4.7,0.0,0.0,4.7,0.0,,0.0,4.0,0.0,0.0,4.0,0.0,,0.0,1.636391694484477,0.0,0.0,1.636391694484477,0.0,,0.0
urban_roundabout,100,centralized_remote_100ms,100.0,replay,10,9.9,7.1,1.9,0.1,0.8,0.8982142857142857,0.95,10.0,7.0,2.0,0.0,1.0,0.875,1.0,0.31622776601683783,0.5676462121975467,0.31622776601683794,0.31622776601683794,0.4216370213557839,0.05393395852416329,0.15811388300841897
urban_roundabout,100,centralized_remote_100ms,100.0,speed_offset,10,5.8,3.7,0.0,0.9,1.2,0.7550000000000001,0.0,6.0,4.0,0.0,1.0,1.0,0.8,0.0,0.6324555320336759,0.4830458915396479,0.0,0.31622776601683794,0.4216370213557839,0.08316649966583102,0.0
urban_roundabout,100,distributed_density_honest,,benign,10,164.0,0.0,0.0,164.0,0.0,,0.0,164.0,0.0,0.0,164.0,0.0,,0.0,1.9436506316150977,0.0,0.0,1.9436506316150977,0.0,,0.0
urban_roundabout,100,distributed_density_honest,,certificate_tamper,10,3.7,3.0,0.0,0.7,0.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.4830458915396479,0.0,0.0,0.48304589153964794,0.0,0.0,0.0
urban_roundabout,100,distributed_density_honest,,false_denm,10,5.8,3.0,0.0,1.0,1.8,0.625,0.0,6.0,3.0,0.0,1.0,2.0,0.6,0.0,0.42163702135578407,0.816496580927726,0.0,0.0,0.7888106377466155,0.15855247992033708,0.0
urban_roundabout,100,distributed_density_honest,,mixed,10,7.8,0.0,0.0,1.4,6.4,0.0,0.0,7.0,0.0,0.0,1.0,6.0,0.0,0.0,1.3165611772087666,0.0,0.0,0.6992058987801011,0.6992058987801011,0.0,0.0
urban_roundabout,100,distributed_density_honest,,position_offset,10,4.7,0.0,0.0,4.7,0.0,,0.0,4.0,0.0,0.0,4.0,0.0,,0.0,1.636391694484477,0.0,0.0,1.636391694484477,0.0,,0.0
urban_roundabout,100,distributed_density_honest,,replay,10,9.9,7.1,1.9,0.1,0.8,0.8982142857142857,0.95,10.0,7.0,2.0,0.0,1.0,0.875,1.0,0.31622776601683783,0.5676462121975467,0.31622776601683794,0.31622776601683794,0.4216370213557839,0.05393395852416329,0.15811388300841897
urban_roundabout,100,distributed_density_honest,,speed_offset,10,5.8,3.7,0.0,0.9,1.2,0.7550000000000001,0.0,6.0,4.0,0.0,1.0,1.0,0.8,0.0,0.6324555320336759,0.4830458915396479,0.0,0.31622776601683794,0.4216370213557839,0.08316649966583102,0.0
