topology,vehicle_count,architecture,backhaul_extra_latency_ms,message_type,seed_count,messages__mean,delivered__mean,dropped__mean,bytes_total__mean,retransmissions__mean,mean_queue_delay_ms__mean,messages__median,delivered__median,dropped__median,bytes_total__median,retransmissions__median,mean_queue_delay_ms__median,messages__std,delivered__std,dropped__std,bytes_total__std,retransmissions__std,mean_queue_delay_ms__std
urban_roundabout,20,centralized_remote_0ms_control,0.0,ATTESTATION_TO_SERVER,10,1324.8,1301.5,23.3,932659.2,23.3,4016.2271310293117,1333.0,1310.0,22.5,938432.0,22.5,4020.1893420686592,38.56826559635668,36.821642186808205,3.802046232695699,27152.0589798351,3.802046232695699,94.7303653613939
urban_roundabout,20,centralized_remote_100ms,100.0,ATTESTATION_TO_SERVER,10,1324.8,1301.5,23.3,932659.2,23.3,4016.2271310293117,1333.0,1310.0,22.5,938432.0,22.5,4020.1893420686592,38.56826559635668,36.821642186808205,3.802046232695699,27152.0589798351,3.802046232695699,94.7303653613939
urban_roundabout,20,distributed_density_honest,,COMMIT,10,59.9,58.8,1.1,21084.8,1.1,0.0,61.0,60.0,1.0,21472.0,1.0,0.0,3.9285281382896238,3.794733192202055,0.8755950357709131,1382.8419046779475,0.8755950357709131,0.0
urban_roundabout,20,distributed_density_honest,,LEDGER_REPLICATION,10,15.0,14.7,0.3,16800.0,0.3,0.0,15.0,15.0,0.0,16800.0,0.0,0.0,1.1547005383792515,0.9486832980505138,0.48304589153964794,1293.2646029847617,0.48304589153964794,0.0
urban_roundabout,20,distributed_density_honest,,PREPARE,10,59.4,58.8,0.6,20908.8,0.6,0.0,60.0,60.0,0.5,21120.0,0.5,0.0,3.7178249316263168,3.794733192202055,0.6992058987801011,1308.6743759324631,0.6992058987801011,0.0
urban_roundabout,20,distributed_density_honest,,PRE_PREPARE,10,14.8,14.7,0.1,8051.2,0.1,0.0,15.0,15.0,0.0,8160.0,0.0,0.0,1.0327955589886446,0.9486832980505138,0.31622776601683794,561.8407840898227,0.31622776601683794,0.0
urban_roundabout,20,distributed_density_honest,,RSU_EVIDENCE_EXCHANGE,10,861.4,845.1,16.3,606425.6,16.3,3990.1170710790857,865.0,848.5,15.5,608960.0,15.5,4048.1492093014276,28.320389200087728,26.467800143654618,3.4334951418181574,19937.55399686176,3.4334951418181574,246.2563250688843
urban_roundabout,20,distributed_density_honest,,RSU_READ_CACHE_SYNC,10,10.2,9.8,0.4,11424.0,0.4,0.0,10.0,10.0,0.0,11200.0,0.0,0.0,0.9189365834726815,0.632455532033676,0.5163977794943222,1029.2089734894032,0.5163977794943222,0.0
urban_roundabout,20,distributed_density_honest,,VPUFT_EVIDENCE_BUNDLE,10,15.1,14.7,0.4,425382.4,0.4,0.028389936207015392,15.0,15.0,0.0,429760.0,0.0,0.0,0.875595035770913,0.9486832980505138,0.5163977794943222,25628.680822685972,0.5163977794943222,0.08977686104105018
urban_roundabout,40,centralized_remote_0ms_control,0.0,ATTESTATION_TO_SERVER,10,2407.4,2365.0,42.4,1694809.6,42.4,5291.612806179253,2414.5,2373.0,42.0,1699808.0,42.0,5272.802930957465,28.795061304945282,29.773216897816816,4.402019738458447,20271.723158681452,4.402019738458447,63.58270569058078
urban_roundabout,40,centralized_remote_100ms,100.0,ATTESTATION_TO_SERVER,10,2407.4,2365.0,42.4,1694809.6,42.4,5291.612806179253,2414.5,2373.0,42.0,1699808.0,42.0,5272.802930957465,28.795061304945282,29.773216897816816,4.402019738458447,20271.723158681452,4.402019738458447,63.58270569058078
urban_roundabout,40,distributed_density_honest,,COMMIT,10,57.2,56.4,0.8,20134.4,0.8,0.0,60.0,60.0,1.0,21120.0,1.0,0.0,5.940445175985458,5.796550698475775,0.7888106377466155,2091.036701946881,0.7888106377466155,0.0
urban_roundabout,40,distributed_density_honest,,LEDGER_REPLICATION,10,14.3,14.1,0.2,16016.0,0.2,0.0,15.0,15.0,0.0,16800.0,0.0,0.0,1.4181364924121764,1.4491376746189437,0.4216370213557839,1588.3128715016378,0.4216370213557839,0.0
