topology,vehicle_count,seed,architecture,backhaul_extra_latency_ms,case_id,committed,view,leader,prepare_votes,commit_votes,started_at,committed_at,view_changes,reason,message_count,bytes_sent,safety_violation,semantic_proposal_valid,fault_activated,validator_rechecks,validator_recheck_failures,invalid_proposal_attempted
urban_roundabout,40,1005,distributed_density_honest,,case-urban_roundabout-1005-veh_006-w0002,True,0,rsu-2,4,4,44.02195951396661,44.05789939335728,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,40,1005,distributed_density_honest,,case-urban_roundabout-1005-veh_027-w0002,True,0,rsu-1,4,4,44.07603070282481,44.11468119144293,0,committed,28,10432,False,True,False,4,0,False
urban_roundabout,40,1005,distributed_density_honest,,case-urban_roundabout-1005-veh_027-w0003,True,0,rsu-1,4,4,59.044413669453526,59.08283045079404,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,40,1006,distributed_density_honest,,case-urban_roundabout-1006-veh_003-w0000,True,0,rsu-3,4,4,14.040199371109495,14.080467803117685,0,committed,28,10432,False,True,False,4,0,False
urban_roundabout,40,1006,distributed_density_honest,,case-urban_roundabout-1006-veh_003-w0001,True,0,rsu-2,4,4,29.039709419212365,29.07771768449316,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,40,1006,distributed_density_honest,,case-urban_roundabout-1006-veh_006-w0002,True,0,rsu-2,4,4,44.013352944107375,44.050993965859426,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,40,1006,distributed_density_honest,,case-urban_roundabout-1006-veh_027-w0002,True,0,rsu-1,4,4,44.075979243338274,44.114469668755056,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,40,1006,distributed_density_honest,,case-urban_roundabout-1006-veh_027-w0003,True,0,rsu-1,4,4,59.041932656061874,59.07897928098649,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,40,1007,distributed_density_honest,,case-urban_roundabout-1007-veh_003-w0000,True,0,rsu-4,4,4,14.040426275758856,14.071341401702549,0,committed,27,10080,False,True,False,4,0,False
urban_roundabout,40,1007,distributed_density_honest,,case-urban_roundabout-1007-veh_003-w0001,True,0,rsu-2,4,4,29.043124505282517,29.076684552312873,0,committed,28,10432,False,True,False,4,0,False
urban_roundabout,40,1007,distributed_density_honest,,case-urban_roundabout-1007-veh_006-w0002,True,0,rsu-2,4,4,44.01384771035734,44.04979159110245,0,committed,27,10080,False,True,False,4,0,False
