topology,vehicle_count,backhaul_extra_latency_ms,metric,paired_seed_count,distributed_mean,remote_mean,mean_difference_distributed_minus_remote,median_difference_distributed_minus_remote,difference_std,minimum_difference,maximum_difference,mean_difference_ci95_lower,mean_difference_ci95_upper,wilcoxon_raw_p,rank_biserial,holm_adjusted_p_within_metric,holm_reject_0_05,holm_adjusted_p_within_metric_and_backhaul,holm_reject_0_05_within_metric_and_backhaul,analysis_family
urban_roundabout,20,100.0,ledger_consistency_delay_p95_ms,10,14.879194392905788,1.000000000001222,13.879194392904566,13.980075463279817,1.2790786494758275,12.056271872550184,16.561891073241952,13.163249422839483,14.674711903834094,0.001953125,1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,20,100.0,messages_per_decision,10,28.411423404828973,36.3331198956586,-7.921696490829618,-7.875289575289575,0.5755079042157355,-8.666666666666668,-6.72972972972973,-8.242557410019486,-7.5728416988417,0.001953125,-1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,20,100.0,bytes_per_decision,10,30446.64209500965,25578.51640654365,4868.125688465999,4842.996904024769,674.742927510294,3730.16216216216,5737.263157894737,4460.032712050398,5243.744156161468,0.001953125,1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,20,100.0,retransmissions,10,19.2,23.3,-4.1,-5.0,3.314949304120485,-8.0,1.0,-6.0,-2.1,0.015625,-0.9444444444444444,0.03125,True,0.015625,True,supplementary_exploratory_density
urban_roundabout,20,100.0,mean_queue_delay_ms,10,3316.5573826076497,4016.227131029311,-699.6697484216612,-724.3810428598565,204.62545848053438,-1042.9642697447066,-295.49214649517944,-812.5561742744432,-576.0636119693687,0.001953125,-1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,20,100.0,packet_delivery_ratio,10,0.9815066085816996,0.982435974456864,-0.0009293658751643119,-0.0004771435517850753,0.0027573237256363556,-0.005429753376479218,0.002192975491394966,-0.0025588217301572916,0.000605724719001579,0.625,-0.2,1.0,False,1.0,False,supplementary_exploratory_density
urban_roundabout,20,100.0,runtime_seconds,10,0.7874107400006324,0.49576015999991796,0.2916505800007144,0.28860800000620657,0.08138586509412805,0.16708769999240758,0.42238630000065314,0.24571076375015763,0.33898434774986524,0.001953125,1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,20,100.0,cpu_time_seconds,10,0.7484375,0.4765625,0.271875,0.265625,0.07261843774138907,0.15625,0.390625,0.2296875,0.3140625,0.001953125,1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,20,100.0,peak_memory_kb,10,1206.547265625,1250.34384765625,-43.79658203125,-46.73828125,18.168047161612474,-68.4716796875,-6.91015625,-53.76584716796875,-33.12990722656251,0.001953125,-1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,0.0,trust_precision,10,0.8100000000000002,0.8100000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,False,1.0,False,supplementary_exploratory_density
urban_roundabout,40,0.0,malicious_revocation_recall,10,0.475,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,False,1.0,False,supplementary_exploratory_density
urban_roundabout,40,0.0,false_revocation_rate,10,0.01330371509113346,0.01330371509113346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,False,1.0,False,supplementary_exploratory_density
urban_roundabout,40,0.0,trust_f1,10,0.5974358974358974,0.5974358974358974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,False,1.0,False,supplementary_exploratory_density
urban_roundabout,40,0.0,mcc,10,0.5881227332859068,0.5881227332859068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,False,1.0,False,supplementary_exploratory_density
urban_roundabout,40,0.0,detection_latency_p95_ms,10,9674.999999999998,9674.999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,False,1.0,False,supplementary_exploratory_density
urban_roundabout,40,0.0,qualification_latency_p95_ms,10,13973.190475562727,14005.445465581675,-32.25499001894932,-32.468694822715406,9.712801976825563,-46.81308775561229,-10.23882637544375,-37.53313695900519,-26.266116388103928,0.001953125,-1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,0.0,consensus_latency_p95_ms,10,79.11769661093578,0.0,79.11769661093578,78.13455973527752,7.9539789341130005,69.08293072478226,92.31220284959888,74.63808211011789,83.87416492980095,0.001953125,1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,0.0,latency_p50_ms,10,14079.931274241255,14040.249508566052,39.681765675203316,40.18423313126823,3.0125388287575645,34.35064962284014,44.501485215250796,37.94893823522007,41.38651345287164,0.001953125,1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,0.0,latency_p95_ms,10,14096.363618608582,14079.957695331785,16.405923276796056,13.955661904133194,7.685967399586757,6.884373936094562,28.09626865087739,11.989575823856262,21.05394380652129,0.001953125,1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,0.0,latency_p99_ms,10,14099.010945888838,14094.29956540216,4.7113804866809,4.3621731902148895,11.154695132485024,-11.125955532357693,23.139180020296408,-1.9747996855170231,11.448057779627266,0.275390625,0.41818181818181815,0.697265625,False,0.275390625,False,supplementary_exploratory_density
urban_roundabout,40,0.0,ledger_consistency_delay_p95_ms,10,14.13773730499464,1.0000000000008935,13.137737304993749,13.254596008088138,1.066657001960763,11.636131833484598,14.373274597698682,12.525469404841719,13.750039918425422,0.001953125,1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,0.0,messages_per_decision,10,21.772945742735214,31.80493790372738,-10.03199216099216,-10.071428571428573,0.5239053961092204,-10.70666666666667,-8.932432432432428,-10.323920773524723,-9.700071533101795,0.001953125,-1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,0.0,bytes_per_decision,10,19362.858931899777,22390.67628422408,-3027.817352324301,-3082.2455411255414,590.6470623126206,-4184.84210526316,-2163.8918918918935,-3377.6466407837793,-2686.420124911789,0.001953125,-1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,0.0,retransmissions,10,31.0,42.4,-11.4,-13.5,6.899275324264136,-22.0,-1.0,-15.3,-7.2,0.001953125,-1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,0.0,mean_queue_delay_ms,10,4068.8835121477605,5291.612806179253,-1222.7292940314928,-1190.530204378801,213.32160059198725,-1700.7744173651622,-963.845954723577,-1354.3473615287567,-1113.39536863759,0.001953125,-1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,0.0,packet_delivery_ratio,10,0.9812164500404048,0.9823824724581574,-0.0011660224177526212,-0.0004184669590436285,0.003339633424475195,-0.005903397413669076,0.0040042183693012046,-0.003157578344746621,0.0007938574014578465,0.375,-0.34545454545454546,1.0,False,1.0,False,supplementary_exploratory_density
urban_roundabout,40,0.0,runtime_seconds,10,1.177698949999467,0.9060584200007724,0.27164052999869454,0.2552708500006702,0.11320764657034078,0.0704005999941727,0.4528211999931955,0.209672913997474,0.3378805334981371,0.001953125,1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,0.0,cpu_time_seconds,10,1.14375,0.8640625,0.2796875,0.2421875,0.13828100478634883,0.109375,0.53125,0.2,0.3640625,0.001953125,1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,0.0,peak_memory_kb,10,2058.1541015625,2210.71669921875,-152.56259765625,-153.80322265625,10.378853920382843,-164.626953125,-130.6650390625,-158.09229980468749,-146.15506591796876,0.001953125,-1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,100.0,trust_precision,10,0.8100000000000002,0.8100000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,False,1.0,False,supplementary_exploratory_density
urban_roundabout,40,100.0,malicious_revocation_recall,10,0.475,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,False,1.0,False,supplementary_exploratory_density
urban_roundabout,40,100.0,false_revocation_rate,10,0.01330371509113346,0.01330371509113346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,False,1.0,False,supplementary_exploratory_density
urban_roundabout,40,100.0,trust_f1,10,0.5974358974358974,0.5974358974358974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,False,1.0,False,supplementary_exploratory_density
urban_roundabout,40,100.0,mcc,10,0.5881227332859068,0.5881227332859068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,False,1.0,False,supplementary_exploratory_density
urban_roundabout,40,100.0,detection_latency_p95_ms,10,9674.999999999998,9674.999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,False,1.0,False,supplementary_exploratory_density
urban_roundabout,40,100.0,qualification_latency_p95_ms,10,13973.190475562727,14105.445465581675,-132.25499001895005,-132.4686948227136,9.712801976824839,-146.8130877556141,-110.23882637544921,-137.66932956268806,-125.90707879141337,0.001953125,-1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,100.0,consensus_latency_p95_ms,10,79.11769661093578,0.0,79.11769661093578,78.13455973527752,7.9539789341130005,69.08293072478226,92.31220284959888,74.72740027043821,83.60372911467333,0.001953125,1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,100.0,latency_p50_ms,10,14079.931274241255,14140.249508566052,-60.31823432479705,-59.81576686872995,3.01253882875826,-65.64935037716168,-55.49851478475102,-62.09624490250352,-58.54957469524445,0.001953125,-1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,100.0,latency_p95_ms,10,14096.363618608582,14179.957695331785,-83.59407672320359,-86.04433809586772,7.6859673995883835,-93.11562606390726,-71.90373134911715,-87.98776241632025,-78.94647371180629,0.001953125,-1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,100.0,latency_p99_ms,10,14099.010945888838,14194.299565402156,-95.2886195133182,-95.63782680978511,11.154695132485196,-111.12595553235406,-76.86081997970177,-101.75651843585429,-89.14687445467108,0.001953125,-1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,100.0,ledger_consistency_delay_p95_ms,10,14.13773730499464,1.0000000000008935,13.137737304993749,13.254596008088138,1.066657001960763,11.636131833484598,14.373274597698682,12.49482525309101,13.75963032271744,0.001953125,1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,100.0,messages_per_decision,10,21.772945742735214,31.80493790372738,-10.03199216099216,-10.071428571428573,0.5239053961092204,-10.70666666666667,-8.932432432432428,-10.331670289359762,-9.708566366776893,0.001953125,-1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,100.0,bytes_per_decision,10,19362.858931899777,22390.67628422408,-3027.817352324301,-3082.2455411255414,590.6470623126206,-4184.84210526316,-2163.8918918918935,-3371.6742432789606,-2682.336149632066,0.001953125,-1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
urban_roundabout,40,100.0,retransmissions,10,31.0,42.4,-11.4,-13.5,6.899275324264136,-22.0,-1.0,-15.3025,-7.3,0.001953125,-1.0,0.01953125,True,0.009765625,True,supplementary_exploratory_density
