architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,cpu_time_seconds,peak_memory_kb,seed
distributed_rsu_vpuft,19,2,117,6,0.9047619047619048,0.76,0.01680672268907563,0.24,0.9831932773109243,0.8260869565217391,0.797596160087009,8000.0,14296.148483129386,45.531477971387346,14175.353284898925,14342.225647762149,14342.997054366715,14.102373248221056,10017,69.5625,6888480,47836.666666666664,204,6091.884248131119,0.9796346211440551,1.0,0,0,0,21,1,0,0,3.17988409998361,3.109375,9585.962890625,1005
ahmed_inspired_witness_vpuft,22,4,114,3,0.8461538461538461,0.88,0.03389830508474576,0.12,0.9661016949152542,0.8627450980392156,0.8332090302772728,8000.0,14468.28910212137,102.69251978063565,14195.795248708224,14501.329284272853,14623.624364532554,16.020105910083515,23694,165.69230769230768,17617060,123196.22377622378,451,3144.0934948119207,0.9809656453110492,1.0,0,0,0,26,1,0,0,3.546348800009582,3.46875,13314.0244140625,1005
centralized_vpuft,20,2,113,5,0.9090909090909091,0.8,0.017391304347826087,0.2,0.9826086956521739,0.8510638297872342,0.8235903503465148,8049.999999999983,14144.47971998036,0.0,14084.427512017357,14223.755799919541,14241.314946524795,1.0000000000047748,10409,74.35,7327936,52342.4,206,6427.10224767047,0.9802094341435297,,0,0,0,22,1,0,0,2.663933100004215,2.609375,9136.2666015625,1006
distributed_rsu_vpuft,20,2,113,5,0.9090909090909091,0.8,0.017391304347826087,0.2,0.9826086956521739,0.8510638297872342,0.8235903503465148,8049.999999999983,14331.846821769059,44.95346263723956,14168.104638586134,14367.605113510912,14382.108146827744,15.238694532742514,9425,67.32142857142857,6461792,46155.65714285714,188,6068.056442498807,0.9800530503978779,1.0,0,0,0,22,1,0,0,3.2531844000332057,3.234375,9104.9501953125,1006
ahmed_inspired_witness_vpuft,21,4,111,4,0.84,0.84,0.034782608695652174,0.16,0.9652173913043478,0.8399999999999999,0.8052173913043478,8049.999999999983,14519.122831641698,102.93769579134126,14210.643252958293,14560.54209579851,14616.728603191486,14.711154593751983,22220,158.71428571428572,16525808,118041.4857142857,455,3211.3819100620494,0.9795229522952296,1.0,0,0,0,25,1,0,0,3.678341899998486,3.65625,12621.7529296875,1006
centralized_vpuft,18,2,114,7,0.9,0.72,0.017241379310344827,0.28,0.9827586206896551,0.7999999999999999,0.7693031270087366,8000.0,14133.479011193116,0.0,14081.150231189567,14218.139408596642,14236.10764640041,1.0000000000047748,10474,74.28368794326241,7373696,52295.716312056735,208,6444.6085659730725,0.9801413022722933,,0,0,0,20,1,0,0,2.881706700020004,2.796875,9298.0185546875,1007
distributed_rsu_vpuft,18,2,114,7,0.9,0.72,0.017241379310344827,0.28,0.9827586206896551,0.7999999999999999,0.7693031270087366,8000.0,14286.036958990453,42.580738666446656,14171.212814896855,14323.540756535112,14350.206886184536,13.26712968103543,9420,66.80851063829788,6474304,45917.04964539007,194,6108.530398583507,0.9794055201698514,1.0,0,0,0,20,1,0,0,3.1182722000521608,3.046875,9045.974609375,1007
ahmed_inspired_witness_vpuft,22,4,112,3,0.8461538461538461,0.88,0.034482758620689655,0.12,0.9655172413793104,0.8627450980392156,0.8326948386223194,8000.0,14542.701263949204,140.16270371126626,14208.949107422563,14584.922704141574,14636.738960138186,13.754293372334914,22417,158.98581560283688,16665608,118195.80141843972,439,3191.0356305066643,0.9804166480795825,1.0,0,0,0,26,1,0,0,3.47630909999134,3.40625,12744.9287109375,1007
centralized_vpuft,19,2,116,7,0.9047619047619048,0.7307692307692307,0.01694915254237288,0.2692307692307692,0.9830508474576272,0.8085106382978723,0.7779545659888272,8000.0,14126.756932651304,0.0,14079.832937865458,14223.061693115835,14246.767010310228,1.0000000000047748,10881,75.5625,7660224,53196.0,231,6424.937831449553,0.9787703336090433,,0,0,0,21,1,0,0,3.397971400001552,3.328125,9575.666015625,1008
distributed_rsu_vpuft,19,2,116,7,0.9047619047619048,0.7307692307692307,0.01694915254237288,0.2692307692307692,0.9830508474576272,0.8085106382978723,0.7779545659888272,8000.0,14303.390399970482,43.84655578297725,14186.5262073849,14342.330717180552,14354.464495783834,14.708138050639974,9790,67.98611111111111,6728096,46722.88888888889,207,6084.376776274532,0.978855975485189,1.0,0,0,0,21,1,0,0,3.876179000013508,3.78125,9332.982421875,1008
ahmed_inspired_witness_vpuft,23,4,112,3,0.8518518518518519,0.8846153846153846,0.034482758620689655,0.11538461538461539,0.9655172413793104,0.8679245283018868,0.8378601786224378,8000.0,14550.235690211788,228.18277185456952,14212.217951171731,14592.25515032445,14628.607952130289,15.043902347260738,23542,165.7887323943662,17500820,123245.21126760563,503,3178.948231220815,0.9786339308469969,1.0,0,0,0,27,1,0,0,5.788675300020259,5.609375,13305.1201171875,1008
centralized_vpuft,19,2,112,7,0.9047619047619048,0.7307692307692307,0.017543859649122806,0.2692307692307692,0.9824561403508771,0.8085106382978723,0.776752670870107,8049.999999999983,14138.469659246546,0.0,14081.47773589944,14223.644629065644,14244.154338592693,1.0000000000047748,10307,73.62142857142857,7256128,51829.485714285714,202,6440.957534879385,0.9804016687687979,,0,0,0,21,1,0,0,3.661694800015539,3.625,9055.98046875,1009
distributed_rsu_vpuft,19,2,112,7,0.9047619047619048,0.7307692307692307,0.017543859649122806,0.2692307692307692,0.9824561403508771,0.8085106382978723,0.776752670870107,8049.999999999983,14327.304606488617,42.768143552706306,14176.923615159069,14369.943250337783,14383.483119228711,15.966147611898407,9302,66.44285714285714,6382720,45590.857142857145,186,6103.4150364735215,0.9800043001505052,1.0,0,0,0,21,1,0,0,3.6827542999526486,3.6875,8830.76953125,1009
ahmed_inspired_witness_vpuft,22,4,110,4,0.8461538461538461,0.8461538461538461,0.03508771929824561,0.15384615384615385,0.9649122807017544,0.8461538461538461,0.8110661268556005,8049.999999999983,14517.726238198056,142.04479495452293,14200.782881016052,14559.376002050061,14583.074493532687,14.152457509904792,22223,158.7357142857143,16517736,117983.82857142857,423,3206.5241783596007,0.9809656662016829,1.0,0,0,0,26,1,0,0,4.355153399985284,4.296875,12595.6201171875,1009
centralized_vpuft,21,2,115,5,0.9130434782608695,0.8076923076923077,0.017094017094017096,0.19230769230769232,0.9829059829059829,0.8571428571428572,0.8300054323396717,8000.0,14149.247135606513,0.0,14081.442215925928,14229.14442578657,14247.013008785429,1.0000000000047748,10935,76.46853146853147,7698240,53833.846153846156,237,6408.995709922502,0.9782350251486054,,0,0,0,23,1,0,0,2.974789100000635,2.890625,9587.2109375,1010
distributed_rsu_vpuft,21,2,115,5,0.9130434782608695,0.8076923076923077,0.017094017094017096,0.19230769230769232,0.9829059829059829,0.8571428571428572,0.8300054323396717,8000.0,14329.802680926547,45.73342409935748,14182.366263800062,14363.206186658239,14420.964497254374,15.05883685318281,9857,68.93006993006993,6759424,47268.6993006993,172,6042.709545471495,0.9825504717459673,1.0,0,0,0,23,1,0,0,3.4108996000140905,3.328125,9354.0751953125,1010
ahmed_inspired_witness_vpuft,23,4,113,3,0.8518518518518519,0.8846153846153846,0.03418803418803419,0.11538461538461539,0.9658119658119658,0.8679245283018868,0.8381195037344543,8000.0,14560.436927984303,147.8624906319812,14216.610778036738,14596.309285302792,14633.743390111753,13.767817777998914,23525,164.51048951048952,17492308,122323.83216783217,485,3131.396630882348,0.9793836344314559,1.0,0,0,0,27,1,0,0,4.33674440003233,4.21875,13535.32421875,1010
