seed,case_id,source_kind,attestations,independent_roots,correlated_reports_suppressed,suppression_rate
1005,case-1005-veh_009-w0005,vehicle_witness,60,60,0,0.0
1005,case-1005-veh_009-w0006,rsu,12,6,6,0.5
1005,case-1005-veh_009-w0006,vehicle_witness,22,22,0,0.0
1005,case-1005-veh_010-w0000,rsu,8,4,4,0.5
1005,case-1005-veh_010-w0000,vehicle_witness,8,8,0,0.0
1005,case-1005-veh_010-w0001,rsu,134,15,119,0.8880597014925373
1005,case-1005-veh_010-w0001,vehicle_witness,120,56,64,0.5333333333333333
1005,case-1005-veh_010-w0002,rsu,415,15,400,0.963855421686747
1005,case-1005-veh_010-w0002,vehicle_witness,435,87,348,0.8
1005,case-1005-veh_010-w0003,rsu,450,15,435,0.9666666666666667
1005,case-1005-veh_010-w0003,vehicle_witness,600,120,480,0.8
1005,case-1005-veh_010-w0004,rsu,430,15,415,0.9651162790697675
1005,case-1005-veh_010-w0004,vehicle_witness,450,90,360,0.8
1005,case-1005-veh_010-w0005,rsu,142,15,127,0.8943661971830986
1005,case-1005-veh_010-w0005,vehicle_witness,93,45,48,0.5161290322580645
1005,case-1005-veh_010-w0006,rsu,12,6,6,0.5
1005,case-1005-veh_010-w0006,vehicle_witness,18,18,0,0.0
1005,case-1005-veh_011-w0000,rsu,6,3,3,0.5
1005,case-1005-veh_011-w0000,vehicle_witness,6,6,0,0.0
1005,case-1005-veh_011-w0001,rsu,60,15,45,0.75
1005,case-1005-veh_011-w0001,vehicle_witness,54,54,0,0.0
1005,case-1005-veh_011-w0002,rsu,89,15,74,0.8314606741573034
1005,case-1005-veh_011-w0002,vehicle_witness,110,110,0,0.0
1005,case-1005-veh_011-w0003,rsu,86,15,71,0.8255813953488372
1005,case-1005-veh_011-w0003,vehicle_witness,101,101,0,0.0
1005,case-1005-veh_011-w0004,rsu,52,15,37,0.7115384615384616
1005,case-1005-veh_011-w0004,vehicle_witness,71,71,0,0.0
1005,case-1005-veh_011-w0005,rsu,2,1,1,0.5
1005,case-1005-veh_011-w0005,vehicle_witness,3,3,0,0.0
1005,case-1005-veh_012-w0000,rsu,4,2,2,0.5
1005,case-1005-veh_012-w0000,vehicle_witness,4,4,0,0.0
1005,case-1005-veh_012-w0001,rsu,56,15,41,0.7321428571428571
1005,case-1005-veh_012-w0001,vehicle_witness,52,52,0,0.0
1005,case-1005-veh_012-w0002,rsu,88,15,73,0.8295454545454546
1005,case-1005-veh_012-w0002,vehicle_witness,105,105,0,0.0
1005,case-1005-veh_012-w0003,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_012-w0003,vehicle_witness,120,120,0,0.0
1005,case-1005-veh_012-w0004,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_012-w0004,vehicle_witness,117,117,0,0.0
1005,case-1005-veh_012-w0005,rsu,82,15,67,0.8170731707317073
1005,case-1005-veh_012-w0005,vehicle_witness,75,75,0,0.0
1005,case-1005-veh_012-w0006,rsu,24,6,18,0.75
1005,case-1005-veh_012-w0006,vehicle_witness,27,27,0,0.0
1005,case-1005-veh_013-w0000,rsu,2,1,1,0.5
1005,case-1005-veh_013-w0000,vehicle_witness,2,2,0,0.0
1005,case-1005-veh_013-w0001,rsu,53,15,38,0.7169811320754716
1005,case-1005-veh_013-w0001,vehicle_witness,50,50,0,0.0
1005,case-1005-veh_013-w0002,rsu,87,15,72,0.8275862068965517
1005,case-1005-veh_013-w0002,vehicle_witness,102,102,0,0.0
1005,case-1005-veh_013-w0003,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_013-w0003,vehicle_witness,120,120,0,0.0
1005,case-1005-veh_013-w0004,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_013-w0004,vehicle_witness,115,115,0,0.0
1005,case-1005-veh_013-w0005,rsu,80,15,65,0.8125
1005,case-1005-veh_013-w0005,vehicle_witness,60,60,0,0.0
1005,case-1005-veh_013-w0006,rsu,15,6,9,0.6
1005,case-1005-veh_013-w0006,vehicle_witness,22,22,0,0.0
1005,case-1005-veh_014-w0001,rsu,45,15,30,0.6666666666666666
1005,case-1005-veh_014-w0001,vehicle_witness,48,48,0,0.0
1005,case-1005-veh_014-w0002,rsu,324,15,309,0.9537037037037037
1005,case-1005-veh_014-w0002,vehicle_witness,296,74,222,0.75
1005,case-1005-veh_014-w0003,rsu,360,15,345,0.9583333333333334
1005,case-1005-veh_014-w0003,vehicle_witness,480,120,360,0.75
1005,case-1005-veh_014-w0004,rsu,348,15,333,0.9568965517241379
1005,case-1005-veh_014-w0004,vehicle_witness,396,99,297,0.75
1005,case-1005-veh_014-w0005,rsu,187,15,172,0.9197860962566845
1005,case-1005-veh_014-w0005,vehicle_witness,117,45,72,0.6153846153846154
1005,case-1005-veh_014-w0006,rsu,12,6,6,0.5
1005,case-1005-veh_014-w0006,vehicle_witness,18,18,0,0.0
1005,case-1005-veh_015-w0001,rsu,46,14,32,0.6956521739130435
1005,case-1005-veh_015-w0001,vehicle_witness,58,58,0,0.0
1005,case-1005-veh_015-w0002,rsu,85,15,70,0.8235294117647058
1005,case-1005-veh_015-w0002,vehicle_witness,103,103,0,0.0
1005,case-1005-veh_015-w0003,rsu,89,15,74,0.8314606741573034
1005,case-1005-veh_015-w0003,vehicle_witness,114,114,0,0.0
1005,case-1005-veh_015-w0004,rsu,60,15,45,0.75
1005,case-1005-veh_015-w0004,vehicle_witness,72,72,0,0.0
1005,case-1005-veh_015-w0005,rsu,6,3,3,0.5
