architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,cpu_time_seconds,peak_memory_kb,seed
distributed_rsu_vpuft,22,2,131,3,0.9166666666666666,0.88,0.015037593984962405,0.12,0.9849624060150376,0.8979591836734694,0.8794983658474717,8000.0,14362.42625022417,43.461849894895366,14159.729380085317,14398.035951300111,14414.82620230439,15.757098250501398,6857,43.39873417721519,4639456,29363.645569620254,122,5449.05103797484,0.9822079626658888,1.0,0,0,0,24,1,0,0,1.640934599970933,1.640625,6149.4912109375,1004
ahmed_inspired_witness_vpuft,23,4,129,2,0.8518518518518519,0.92,0.03007518796992481,0.08,0.9699248120300752,0.8846153846153846,0.8628426628216331,8000.0,14871.474893063049,44.30296806964691,14305.815176429476,14906.392845018647,14973.678517663846,13.961644846901322,34350,217.40506329113924,25655628,162377.3924050633,720,3097.4810776393933,0.9790101892285299,1.0,0,0,0,27,1,0,0,4.60533900000155,4.5625,19375.373046875,1004
centralized_vpuft,22,2,131,3,0.9166666666666666,0.88,0.015037593984962405,0.12,0.9849624060150376,0.8979591836734694,0.8794983658474717,8000.0,14162.473210496582,0.0,14064.542761571836,14198.139002090877,14219.012465194826,1.0000000000047748,6954,44.0126582278481,4895616,30984.91139240506,146,5921.405517400359,0.9790048892723612,,0,0,0,24,1,0,0,1.608163099968806,1.625,6146.015625,1005
distributed_rsu_vpuft,22,2,131,3,0.9166666666666666,0.88,0.015037593984962405,0.12,0.9849624060150376,0.8979591836734694,0.8794983658474717,8000.0,14386.40192639761,42.377705766516804,14177.616128079486,14424.43792320439,14435.406815095894,17.458034776878147,6867,43.462025316455694,4646080,29405.569620253165,135,5455.504542021567,0.9803407601572739,1.0,0,0,0,24,1,0,0,1.6263340000296012,1.609375,6142.4345703125,1005
ahmed_inspired_witness_vpuft,22,4,129,3,0.8461538461538461,0.88,0.03007518796992481,0.12,0.9699248120300752,0.8627450980392156,0.836570783400992,8000.0,14861.649727544791,46.5334676974507,14326.174275779344,14898.013375667497,14968.243148433181,16.235742572130007,34275,216.93037974683546,25606944,162069.2658227848,665,3110.173611251567,0.9805981035740335,1.0,0,0,0,26,1,0,0,5.1816592999966815,5.1875,19522.2998046875,1005
centralized_vpuft,21,2,131,4,0.9130434782608695,0.84,0.015037593984962405,0.16,0.9849624060150376,0.8749999999999999,0.8536880074557871,8000.0,14144.589144876021,0.0,14060.258079384867,14195.899227756348,14211.593170492522,1.0000000000047748,6923,43.81645569620253,4873792,30846.78481012658,131,5916.909616062701,0.9810775675285281,,0,0,0,23,1,0,0,1.59328860003734,1.578125,6201.4423828125,1006
distributed_rsu_vpuft,21,2,131,4,0.9130434782608695,0.84,0.015037593984962405,0.16,0.9849624060150376,0.8749999999999999,0.8536880074557871,8000.0,14350.20364225498,42.398916162193245,14170.426475267079,14389.089285513388,14413.946333090234,15.174342621074288,6829,43.221518987341774,4628512,29294.379746835442,138,5459.843123162999,0.9797920632596281,1.0,0,0,0,23,1,0,0,1.6255623999750242,1.609375,6179.150390625,1006
ahmed_inspired_witness_vpuft,22,4,129,3,0.8461538461538461,0.88,0.03007518796992481,0.12,0.9699248120300752,0.8627450980392156,0.836570783400992,8000.0,14857.509898125392,45.349221165384535,14325.014191206876,14897.501935066908,14974.065846980295,15.848135449125778,34324,217.2405063291139,25641704,162289.2658227848,705,3099.1377531210223,0.9794604358466379,1.0,0,0,0,26,1,0,0,4.979913000017405,4.90625,19501.7353515625,1006
centralized_vpuft,20,2,131,5,0.9090909090909091,0.8,0.015037593984962405,0.2,0.9849624060150376,0.8510638297872342,0.8274921602653108,8000.0,14153.55577269158,0.0,14064.80268007616,14197.596819489898,14221.52940092323,1.0000000000047748,6930,43.860759493670884,4878720,30877.974683544304,138,5913.408716883417,0.9800865800865801,,0,0,0,22,1,0,0,1.683647199999541,1.6875,6159.7451171875,1007
distributed_rsu_vpuft,20,2,131,5,0.9090909090909091,0.8,0.015037593984962405,0.2,0.9849624060150376,0.8510638297872342,0.8274921602653108,8000.0,14347.287027881439,44.44706605550195,14168.060439824272,14391.215227731776,14420.441278708786,14.635705088199202,6802,43.050632911392405,4614464,29205.46835443038,141,5481.4043779429685,0.9792708027050867,1.0,0,0,0,22,1,0,0,1.716024599969387,1.71875,6133.2275390625,1007
ahmed_inspired_witness_vpuft,24,4,129,1,0.8571428571428571,0.96,0.03007518796992481,0.04,0.9699248120300752,0.9056603773584904,0.888777330115168,8000.0,14839.028657154533,42.95197038668519,14322.874578065595,14871.093421788435,14995.08803997133,13.673821757966206,34340,217.34177215189874,25635152,162247.79746835443,671,3099.394727085506,0.9804601048340128,1.0,0,0,0,28,1,0,0,4.843543899944052,4.8125,19426.4111328125,1007
centralized_vpuft,22,2,131,3,0.9166666666666666,0.88,0.015037593984962405,0.12,0.9849624060150376,0.8979591836734694,0.8794983658474717,8000.0,14163.982158107307,0.0,14061.44155431301,14204.026546374922,14236.469821196899,1.0000000000047748,6926,43.835443037974684,4875904,30860.151898734177,135,5913.077590528744,0.9805082298585042,,0,0,0,24,1,0,0,1.6647012999746948,1.65625,6144.8134765625,1008
distributed_rsu_vpuft,22,2,131,3,0.9166666666666666,0.88,0.015037593984962405,0.12,0.9849624060150376,0.8979591836734694,0.8794983658474717,8000.0,14354.748257321991,44.816419027890205,14170.219793241355,14394.1671770709,14420.640919059302,16.28262738640451,6858,43.40506329113924,4640064,29367.493670886077,138,5433.613430169882,0.9798775153105862,1.0,0,0,0,24,1,0,0,1.6309437999734655,1.609375,6142.6845703125,1008
ahmed_inspired_witness_vpuft,24,4,129,1,0.8571428571428571,0.96,0.03007518796992481,0.04,0.9699248120300752,0.9056603773584904,0.888777330115168,8000.0,14883.427505261894,46.35609383198318,14313.347617691796,14918.582685639894,15006.940035774827,14.707765113226577,34371,217.5379746835443,25659976,162404.91139240508,710,3100.9733969151725,0.9793430508277327,1.0,0,0,0,28,1,0,0,4.523380400030874,4.484375,19393.3388671875,1008
centralized_vpuft,22,2,131,3,0.9166666666666666,0.88,0.015037593984962405,0.12,0.9849624060150376,0.8979591836734694,0.8794983658474717,8000.0,14148.44444042139,0.0,14058.089672849761,14208.933446671252,14226.752291568078,1.0000000000047748,6929,43.85443037974684,4878016,30873.518987341773,124,5924.251706162806,0.9821041997402222,,0,0,0,24,1,0,0,1.5920051999855787,1.578125,6139.6240234375,1009
distributed_rsu_vpuft,22,2,131,3,0.9166666666666666,0.88,0.015037593984962405,0.12,0.9849624060150376,0.8979591836734694,0.8794983658474717,8000.0,14379.05082659625,40.025597783268196,14164.068499826317,14418.799546994665,14433.309526604247,15.24279532788917,6870,43.48101265822785,4652416,29445.67088607595,136,5443.253043995867,0.9802037845705968,1.0,0,0,0,24,1,0,0,1.631070900009945,1.625,6141.10546875,1009
ahmed_inspired_witness_vpuft,24,4,129,1,0.8571428571428571,0.96,0.03007518796992481,0.04,0.9699248120300752,0.9056603773584904,0.888777330115168,8000.0,14835.036829479104,42.22872513253133,14317.350097551624,14874.285928375033,14992.055687761405,15.809115962814243,34309,217.14556962025316,25614024,162114.07594936708,644,3102.3877027780086,0.9812294150222973,1.0,0,0,0,28,1,0,0,5.0997672000085,5.109375,19623.5625,1009
centralized_vpuft,22,3,130,3,0.88,0.88,0.022556390977443608,0.12,0.9774436090225563,0.88,0.8574436090225563,8000.0,14147.89332161448,0.0,14060.104116684988,14201.989491410244,14222.900593366337,1.0000000000047748,6947,43.96835443037975,4890688,30953.721518987342,151,5901.518587016278,0.9781200518209299,,0,0,0,25,1,0,0,1.582369200012181,1.546875,6211.7177734375,1010
distributed_rsu_vpuft,22,3,130,3,0.88,0.88,0.022556390977443608,0.12,0.9774436090225563,0.88,0.8574436090225563,8000.0,14355.540402678655,40.83447941534217,14157.121121144999,14392.449303759851,14411.35216472699,12.828033551787142,6869,43.4746835443038,4642432,29382.481012658227,114,5431.919307186128,0.9834036977726015,1.0,0,0,0,25,1,0,0,1.7308591000037268,1.703125,6193.607421875,1010
ahmed_inspired_witness_vpuft,23,5,128,2,0.8214285714285714,0.92,0.03759398496240601,0.08,0.9624060150375939,0.8679245283018867,0.8433611534792701,8000.0,14856.07805616775,43.121095996387915,14310.7616023099,14897.518879931647,14943.732318661976,15.787079745232187,34373,217.5506329113924,25664968,162436.50632911394,716,3090.3303646008494,0.9791696971460158,1.0,0,0,0,28,1,0,0,4.65313839999726,4.59375,19477.8916015625,1010
