seed,event_id,case_id,source_kind,attack_type,ground_truth_attack_type,direction,ground_truth_malicious
1008,wdet-900cd6e11e5e50ab561a3da9,case-1008-veh_011-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-901402840f6d812bdc30a7fd,case-1008-veh_011-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-90516e2cd8ed6538811e5168,case-1008-veh_017-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-90803a6163ad674714cea05d,case-1008-veh_003-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-90a10d832b90f8e4c600751d,case-1008-veh_000-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-91ac40bc2a40bb5ee95f1301,case-1008-veh_005-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-943971db69e10c3d829f5c87,case-1008-veh_017-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-94c0968acaeec09c91e07eab,case-1008-veh_020-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-962cbf026d5d21576c0d4ff5,case-1008-veh_007-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-968098410a8f0ead5bf5ca34,case-1008-veh_003-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-9cde98a64d60bb0a1922e96b,case-1008-veh_014-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-9d194044abf1911eeba71430,case-1008-veh_013-w0001,vehicle_witness,position_offset,benign,-1,0
1008,wdet-9dd1a71bdaac872a57c429cb,case-1008-veh_019-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-9f5ae62f3546ed24d71cf31e,case-1008-veh_002-w0001,vehicle_witness,position_offset,position_offset,1,1
1008,wdet-a0aaf67568f984d8e10376c5,case-1008-veh_021-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-a19b84d2dcf9239aedfb579c,case-1008-veh_002-w0001,vehicle_witness,position_offset,position_offset,1,1
1008,wdet-a4f665929b06531d645feb0c,case-1008-veh_017-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-a5656ee06cdc3dcfe856edc6,case-1008-veh_008-w0001,vehicle_witness,certificate_tamper,benign,-1,0
1008,wdet-a5bf2ef5cc0669ceb27bcdd6,case-1008-veh_014-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-a7a38eca3cf9b9283f105ba0,case-1008-veh_016-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-a8e1f75077d8af5cc4db150e,case-1008-veh_021-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-a964606007ad718d650fea12,case-1008-veh_022-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-ad7e72798834283f0c34b8ef,case-1008-veh_008-w0001,vehicle_witness,certificate_tamper,benign,-1,0
1008,wdet-ad95154d44fd524a2fc4e2c8,case-1008-veh_011-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-adbcd2fd512d249d863db970,case-1008-veh_017-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-b02cc9f242e4800df5254958,case-1008-veh_013-w0001,vehicle_witness,position_offset,benign,-1,0
1008,wdet-b53ed7624f711a8f168b262b,case-1008-veh_000-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-b543f9a3f133593824744daa,case-1008-veh_008-w0001,vehicle_witness,certificate_tamper,benign,-1,0
1008,wdet-b5933eaeda308c13ba2f840e,case-1008-veh_022-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-b6177ff6d7147329e35458f6,case-1008-veh_018-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-b6c5a159a340c395e7af7ed3,case-1008-veh_001-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-b9165e182c51a503574e37f3,case-1008-veh_008-w0001,vehicle_witness,certificate_tamper,benign,-1,0
1008,wdet-bd4912e9816718c5557d07c8,case-1008-veh_019-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-bd9a9dec131ef6072e1f1d96,case-1008-veh_000-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-bf506ff6fc655f75afaf60b4,case-1008-veh_000-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-c06711f0373701b71b008312,case-1008-veh_000-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-c35a755373fd3bb3d6d78af5,case-1008-veh_016-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-c52f4b7b796eb65bfe58c553,case-1008-veh_010-w0001,vehicle_witness,flood,benign,-1,0
1008,wdet-c592d2be608a29f01268a5b6,case-1008-veh_007-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-c61967b375eb1cbdfb8215c1,case-1008-veh_006-w0001,vehicle_witness,replay,replay,1,1
1008,wdet-c61a93cc7b175f1ddfd3949d,case-1008-veh_011-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-c8443ee546c5b4223f825184,case-1008-veh_003-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-ca09005f7ccd6f1a066c1760,case-1008-veh_019-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-ca6c715b3a8b6ee6af4f0c4d,case-1008-veh_015-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-ca6dd78051358ad921f46295,case-1008-veh_012-w0001,vehicle_witness,false_denm,benign,0,0
1008,wdet-cc925c16a6005c818a213db9,case-1008-veh_004-w0001,vehicle_witness,speed_offset,speed_offset,1,1
1008,wdet-cd5a7c6b235690ecdc0a9d99,case-1008-veh_007-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-cedc2aee97204802e1b1294a,case-1008-veh_015-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-cf170e8cba178d5b58bc3b69,case-1008-veh_020-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-d15c9a2087fd25b69e7aadea,case-1008-veh_015-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-d216dfce619aa560409b7bf8,case-1008-veh_011-w0001,vehicle_witness,benign,benign,-1,0
