case_id,observation_root_id,seed,attack_type,label,validity,direction,source_id,source_kind,validator_rsu_id,administrative_domain_id,geographic_cell,sensor_modality,detector_confidence,source_reliability,freshness,verifiability,independence,observed_at,reason_codes
case-intersection-1004-veh_000-benign,wroot-558ffadad95b1385a1252e41,1004,benign,0,1,-1,veh_004,vehicle_witness,rsu-5,domain-3,cell-1-1,vehicle_witness_observation,0.78,0.7567988861913759,0.99,0.76,0.8431748971773653,55.0,clean_observation
case-intersection-1004-veh_000-benign,wroot-652107bdcc1c74b6b3a8bf86,1004,benign,0,1,-1,veh_022,vehicle_witness,rsu-6,domain-3,cell-2-1,vehicle_witness_observation,0.78,0.7224398597303165,0.99,0.76,0.8264597653539201,55.0,clean_observation
case-intersection-1004-veh_000-benign,wroot-a2f2c54536974645069cd630,1004,benign,0,1,-1,veh_001,vehicle_witness,rsu-6,domain-3,cell-2-2,vehicle_witness_observation,0.78,0.81864240292656,0.99,0.76,0.9049324251364363,55.0,clean_observation
case-intersection-1004-veh_000-benign,wroot-9765002f8efdd1c170346792,1004,benign,0,1,-1,veh_008,vehicle_witness,rsu-5,domain-3,cell-1-1,vehicle_witness_observation,0.78,0.9400640428516541,0.99,0.76,0.849901460943655,55.0,clean_observation
case-intersection-1004-veh_000-benign,wroot-ed5e84e83fd5753e531e79f5,1004,benign,0,1,-1,veh_005,vehicle_witness,rsu-6,domain-3,cell-2-2,vehicle_witness_observation,0.78,0.92511437548172,0.99,0.76,0.8808722439339967,55.0,clean_observation
case-intersection-1004-veh_000-benign,wroot-6cdcecacc066b2a989928ee1,1004,benign,0,1,-1,veh_012,vehicle_witness,rsu-5,domain-3,cell-1-1,vehicle_witness_observation,0.78,0.7416859055950897,0.99,0.76,0.9130338728428427,55.0,clean_observation
case-intersection-1004-veh_000-benign,wroot-54ac9d2f501d7f7c5f3246fc,1004,benign,0,1,-1,veh_019,vehicle_witness,rsu-5,domain-3,cell-1-1,vehicle_witness_observation,0.78,0.9357367464261025,0.99,0.76,0.8877326363338683,55.0,clean_observation
case-intersection-1004-veh_000-benign,wroot-cdb78e0601c38f69c3c104a5,1004,benign,0,1,-1,veh_009,vehicle_witness,rsu-6,domain-3,cell-2-2,vehicle_witness_observation,0.78,0.9304785348078641,0.99,0.76,0.8603586752650023,55.0,clean_observation
case-intersection-1004-veh_001-benign,root-f79a488dbdf34e831cb98dc0,1004,benign,0,1,-1,rsu-1,rsu,rsu-1,domain-1,cell-1-2,rsu_cam_plausibility,0.78,0.96,0.99,0.76,0.92,55.0,clean_observation
case-intersection-1004-veh_001-benign,root-f79a488dbdf34e831cb98dc0,1004,benign,0,1,-1,rsu-2,rsu,rsu-2,domain-1,cell-3-2,rsu_cam_plausibility,0.78,0.95,0.99,0.76,0.68,55.0,clean_observation
case-intersection-1004-veh_001-benign,root-f79a488dbdf34e831cb98dc0,1004,benign,0,1,-1,rsu-3,rsu,rsu-3,domain-2,cell-2-1,rsu_cam_plausibility,0.78,0.94,0.99,0.76,0.56,55.0,clean_observation
case-intersection-1004-veh_001-benign,root-f79a488dbdf34e831cb98dc0,1004,benign,0,1,-1,rsu-4,rsu,rsu-4,domain-2,cell-2-3,rsu_cam_plausibility,0.78,0.93,0.99,0.76,0.44000000000000006,55.0,clean_observation
case-intersection-1004-veh_001-benign,root-f79a488dbdf34e831cb98dc0,1004,benign,0,1,-1,rsu-5,rsu,rsu-5,domain-3,cell-1-1,rsu_cam_plausibility,0.78,0.92,0.99,0.76,0.35,55.0,clean_observation
case-intersection-1004-veh_001-benign,root-f79a488dbdf34e831cb98dc0,1004,benign,0,1,-1,rsu-6,rsu,rsu-6,domain-3,cell-2-2,rsu_cam_plausibility,0.78,0.9,0.99,0.76,0.35,55.0,clean_observation
case-intersection-1004-veh_001-benign,wroot-780edaf918e37762b8329749,1004,benign,0,1,-1,veh_022,vehicle_witness,rsu-6,domain-3,cell-2-1,vehicle_witness_observation,0.78,0.7224398597303165,0.99,0.76,0.8236078061310085,55.0,clean_observation
case-intersection-1004-veh_001-benign,wroot-3d4573a86061917e2df8a5d9,1004,benign,0,1,-1,veh_005,vehicle_witness,rsu-6,domain-3,cell-2-2,vehicle_witness_observation,0.78,0.92511437548172,0.99,0.76,0.8523299177131268,55.0,clean_observation
