,,bytes_per_decision,bytes_per_decision,bytes_per_decision,false_revocation_rate,false_revocation_rate,false_revocation_rate,latency_p95_ms,latency_p95_ms,latency_p95_ms,malicious_revocation_recall,malicious_revocation_recall,malicious_revocation_recall,mcc,mcc,mcc,messages_per_decision,messages_per_decision,messages_per_decision,peak_memory_kb,peak_memory_kb,peak_memory_kb,trust_f1,trust_f1,trust_f1,trust_precision,trust_precision,trust_precision
architecture,,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft
topology,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,
intersection,1004,121111.54929577465,52775.38461538462,46446.545454545456,0.0344827586206896,0.017094017094017,0.017094017094017,14603.4018307857,14245.641750519007,14366.562128666988,0.9230769230769232,0.8076923076923077,0.8076923076923077,0.8637492516096532,0.8300054323396717,0.8300054323396717,163.0,74.96503496503496,67.76223776223776,13095.884765625,9437.439453125,9215.6171875,0.888888888888889,0.8571428571428572,0.8571428571428572,0.8571428571428571,0.9130434782608696,0.9130434782608696
intersection,1005,123196.22377622378,54657.77777777778,47836.66666666666,0.0338983050847457,0.0168067226890756,0.0168067226890756,14501.329284272852,14231.06991541038,14342.225647762149,0.88,0.76,0.76,0.8332090302772728,0.797596160087009,0.797596160087009,165.69230769230768,77.63888888888889,69.5625,13314.0244140625,9843.9052734375,9585.962890625,0.8627450980392156,0.8260869565217391,0.8260869565217391,0.8461538461538461,0.9047619047619048,0.9047619047619048
intersection,1006,118041.4857142857,52342.4,46155.65714285714,0.0347826086956521,0.017391304347826,0.017391304347826,14560.54209579851,14223.75579991954,14367.605113510912,0.84,0.8,0.8,0.8052173913043478,0.8235903503465148,0.8235903503465148,158.71428571428572,74.35,67.32142857142857,12621.7529296875,9136.2666015625,9104.9501953125,0.8399999999999999,0.8510638297872342,0.8510638297872342,0.84,0.9090909090909092,0.9090909090909092
intersection,1007,118195.80141843972,52295.716312056735,45917.04964539007,0.0344827586206896,0.0172413793103448,0.0172413793103448,14584.922704141574,14218.139408596642,14323.540756535112,0.88,0.72,0.72,0.8326948386223194,0.7693031270087366,0.7693031270087366,158.98581560283688,74.28368794326241,66.80851063829788,12744.9287109375,9298.0185546875,9045.974609375,0.8627450980392156,0.7999999999999999,0.7999999999999999,0.8461538461538461,0.9,0.9
intersection,1008,123245.21126760564,53196.0,46722.88888888889,0.0344827586206896,0.0169491525423728,0.0169491525423728,14592.25515032445,14223.061693115837,14342.330717180552,0.8846153846153846,0.7307692307692307,0.7307692307692307,0.8378601786224378,0.7779545659888272,0.7779545659888272,165.7887323943662,75.5625,67.98611111111111,13305.1201171875,9575.666015625,9332.982421875,0.8679245283018868,0.8085106382978723,0.8085106382978723,0.8518518518518519,0.9047619047619048,0.9047619047619048
intersection,1009,117983.82857142856,51829.485714285714,45590.857142857145,0.0350877192982456,0.0175438596491228,0.0175438596491228,14559.37600205006,14223.644629065644,14369.943250337785,0.8461538461538461,0.7307692307692307,0.7307692307692307,0.8110661268556005,0.776752670870107,0.776752670870107,158.7357142857143,73.62142857142857,66.44285714285714,12595.6201171875,9055.98046875,8830.76953125,0.8461538461538461,0.8085106382978723,0.8085106382978723,0.8461538461538461,0.9047619047619048,0.9047619047619048
intersection,1010,122323.83216783217,53833.84615384616,47268.6993006993,0.0341880341880341,0.017094017094017,0.017094017094017,14596.309285302792,14229.14442578657,14363.20618665824,0.8846153846153846,0.8076923076923077,0.8076923076923077,0.8381195037344543,0.8300054323396717,0.8300054323396717,164.51048951048952,76.46853146853147,68.93006993006993,13535.32421875,9587.2109375,9354.0751953125,0.8679245283018868,0.8571428571428572,0.8571428571428572,0.8518518518518519,0.9130434782608696,0.9130434782608696
smoke,1001,157603.67088607594,23815.69620253165,20399.79746835443,0.0300751879699248,0.0150375939849624,0.0150375939849624,14835.08871715971,14159.383495283775,14310.543026434343,0.88,0.76,0.76,0.836570783400992,0.8008667271573939,0.8008667271573939,209.83544303797467,33.82911392405063,30.4746835443038,19930.8251953125,4813.333984375,4672.26171875,0.8627450980392156,0.8260869565217391,0.8260869565217391,0.8461538461538461,0.9047619047619048,0.9047619047619048
smoke,1002,131150.45569620252,24154.32911392405,20830.37974683544,0.0300751879699248,0.0150375939849624,0.0150375939849624,14642.77179875191,14159.621110115537,14313.874651697804,0.96,0.76,0.76,0.888777330115168,0.8008667271573939,0.8008667271573939,175.03164556962025,34.31012658227848,31.06962025316456,16555.09765625,4869.8837890625,4744.2919921875,0.9056603773584904,0.8260869565217391,0.8260869565217391,0.8571428571428571,0.9047619047619048,0.9047619047619048
smoke,1003,138320.43037974683,24065.21518987342,20666.93670886076,0.0300751879699248,0.0150375939849624,0.0150375939849624,14726.89263630313,14160.959823064552,14323.052777611834,0.88,0.76,0.76,0.836570783400992,0.8008667271573939,0.8008667271573939,184.32911392405063,34.18354430379747,30.829113924050635,17396.2451171875,4835.634765625,4704.75390625,0.8627450980392156,0.8260869565217391,0.8260869565217391,0.8461538461538461,0.9047619047619048,0.9047619047619048
smoke,1004,142736.91139240508,24038.481012658227,20700.96202531645,0.0300751879699248,0.0150375939849624,0.0150375939849624,14771.873859738223,14153.414009115077,14295.757110628656,0.88,0.76,0.76,0.836570783400992,0.8008667271573939,0.8008667271573939,190.0759493670886,34.14556962025316,30.848101265822784,17942.8330078125,4802.0341796875,4690.8701171875,0.8627450980392156,0.8260869565217391,0.8260869565217391,0.8461538461538461,0.9047619047619048,0.9047619047619048
smoke,1005,138756.37974683545,24002.835443037973,20609.62025316456,0.0300751879699248,0.0150375939849624,0.0150375939849624,14690.099013553676,14157.992672600718,14298.90645953004,0.8,0.84,0.84,0.7828636358030346,0.8536880074557871,0.8536880074557871,184.5253164556962,34.09493670886076,30.89873417721519,17695.4775390625,4788.3994140625,4686.4638671875,0.816326530612245,0.8749999999999999,0.8749999999999999,0.8333333333333334,0.9130434782608696,0.9130434782608696
smoke,1006,142818.25316455695,24038.481012658227,21112.506329113923,0.0300751879699248,0.0150375939849624,0.0150375939849624,14843.746513509195,14158.638151527584,14323.849651513496,0.88,0.8,0.8,0.836570783400992,0.8274921602653108,0.8274921602653108,190.4177215189873,34.14556962025316,31.550632911392405,17952.4365234375,4857.384765625,4760.154296875,0.8627450980392156,0.8510638297872342,0.8510638297872342,0.8461538461538461,0.9090909090909092,0.9090909090909092
smoke,1007,146969.67088607594,23980.556962025315,21098.93670886076,0.0300751879699248,0.0150375939849624,0.0150375939849624,14830.56110628522,14164.63591399728,14321.571535518417,0.92,0.76,0.76,0.8628426628216331,0.8008667271573939,0.8008667271573939,196.03164556962025,34.063291139240505,31.46202531645569,18360.7939453125,4826.00390625,4725.1669921875,0.8846153846153846,0.8260869565217391,0.8260869565217391,0.8518518518518519,0.9047619047619048,0.9047619047619048
smoke,1008,144900.15189873418,23927.08860759494,20814.78481012658,0.0225563909774436,0.0150375939849624,0.0150375939849624,14849.510035239697,14151.951066149091,14322.346999918858,0.96,0.84,0.84,0.9089153700625314,0.8536880074557871,0.8536880074557871,193.0443037974684,33.9873417721519,31.20253164556962,18194.43359375,4792.654296875,4704.4072265625,0.923076923076923,0.8749999999999999,0.8749999999999999,0.8888888888888888,0.9130434782608696,0.9130434782608696
smoke,1009,145417.2658227848,23918.17721518988,21040.607594936708,0.0300751879699248,0.0150375939849624,0.0150375939849624,14805.44963500659,14149.455837228845,14297.070226790123,0.92,0.8,0.8,0.8628426628216331,0.8274921602653108,0.8274921602653108,193.90506329113924,33.9746835443038,31.449367088607595,18243.763671875,4781.41796875,4701.7841796875,0.8846153846153846,0.8510638297872342,0.8510638297872342,0.8518518518518519,0.9090909090909092,0.9090909090909092
