topology,ttl_seconds,from_vehicle_count,to_vehicle_count,metric,previous_mean,current_mean,absolute_change,relative_change
corridor,1.0,60,80,interactions,4952.1,6293.3,1341.1999999999998,0.27083459542416344
corridor,1.0,60,80,mean_active_vehicles,52.148421052631576,66.25578947368422,14.10736842105264,0.2705234048565836
corridor,1.0,60,80,peak_active_vehicles,60.0,80.0,20.0,0.3333333333333333
corridor,1.0,60,80,cache_hits,2145.1,2745.1,600.0,0.27970723975572237
corridor,1.0,60,80,cache_misses,2807.0,3548.2,741.1999999999998,0.26405415033843954
corridor,1.0,60,80,cache_hit_rate,0.4331730476926497,0.43616289917964324,0.0029898514869935444,0.006902210335844674
corridor,1.0,60,80,v2i_queries,2807.0,3548.2,741.1999999999998,0.26405415033843954
corridor,1.0,60,80,v2i_queries_avoided,2145.1,2745.1,600.0,0.27970723975572237
corridor,1.0,60,80,query_failures,0.2,0.2,0.0,0.0
corridor,1.0,60,80,accepted,3602.4,4590.1,987.7000000000003,0.27417832556073735
corridor,1.0,60,80,rejected,1349.7,1703.2,353.5,0.2619100540860932
corridor,1.0,60,80,anomaly_escalations,97.4,124.3,26.89999999999999,0.2761806981519506
corridor,1.0,60,80,stale_trust_acceptances,10.2,11.9,1.700000000000001,0.1666666666666668
corridor,1.0,60,80,stale_acceptance_rate,0.0020601343970214,0.00189144841125331,-0.00016868598576809,-0.08188105883382216
corridor,1.0,60,80,authorization_latency_mean_ms,9.701357400030126,9.658364530956081,-0.04299286907404465,-0.004431634389009433
corridor,1.0,60,80,authorization_latency_p95_ms,22.776200023356523,22.780938826860382,0.004738803503858691,0.00020805944358581087
corridor,1.0,60,80,messages_total,5726.8,7239.7,1512.8999999999996,0.26417894810365294
corridor,1.0,60,80,messages_per_interaction,1.1564266284511426,1.1504421598980599,-0.005984468553082767,-0.005174966059972219
corridor,1.0,60,80,bytes_total,4032025.6,5097779.2,1065753.6,0.2643221312880553
corridor,1.0,60,80,bytes_per_interaction,814.1976322396622,810.0749949877403,-4.122637251921901,-0.005063435569790981
corridor,1.0,60,80,cache_entries_final,570.3,685.4,115.10000000000002,0.2018236016131861
corridor,1.0,60,80,cache_entries_peak,570.3,685.4,115.10000000000002,0.2018236016131861
corridor,1.0,80,100,observed_vehicle_count,80.0,100.0,20.0,0.25
corridor,1.0,80,100,interactions,6293.3,7454.7,1161.3999999999996,0.18454546899083146
corridor,1.0,80,100,mean_active_vehicles,66.25578947368422,78.48105263157895,12.22526315789473,0.18451614953211623
corridor,1.0,80,100,peak_active_vehicles,80.0,100.0,20.0,0.25
corridor,1.0,80,100,cache_hits,2745.1,3134.3,389.2000000000003,0.14177989872864388
corridor,1.0,80,100,cache_misses,3548.2,4320.4,772.1999999999998,0.21763147511414235
corridor,1.0,80,100,cache_hit_rate,0.43616289917964324,0.420441531039041,-0.01572136814060221,-0.03604471671059537
corridor,1.0,80,100,v2i_queries,3548.2,4320.4,772.1999999999998,0.21763147511414235
corridor,1.0,80,100,v2i_queries_avoided,2745.1,3134.3,389.2000000000003,0.14177989872864388
corridor,1.0,80,100,query_failures,0.2,0.2,0.0,0.0
corridor,1.0,80,100,accepted,4590.1,5454.8,864.6999999999998,0.18838369534432794
corridor,1.0,80,100,rejected,1703.2,1999.9,296.70000000000005,0.17420150305307658
corridor,1.0,80,100,anomaly_escalations,124.3,145.8,21.500000000000014,0.17296862429605805
corridor,1.0,80,100,stale_trust_acceptances,11.9,14.4,2.5,0.21008403361344538
corridor,1.0,80,100,stale_acceptance_rate,0.00189144841125331,0.00193198586509833,4.053745384501994e-05,0.021431963781744934
corridor,1.0,80,100,authorization_latency_mean_ms,9.658364530956081,9.917607822259221,0.2592432913031395,0.02684132396041144
corridor,1.0,80,100,authorization_latency_p95_ms,22.780938826860382,22.83632390434395,0.05538507748356736,0.002431202590222679
corridor,1.0,80,100,messages_total,7239.7,8815.4,1575.6999999999998,0.21764714007486496
corridor,1.0,80,100,messages_per_interaction,1.1504421598980599,1.1825377958092922,0.03209563591123232,0.027898522003119482
corridor,1.0,80,100,bytes_total,5097779.2,6207654.4,1109875.2000000002,0.2177173934877368
corridor,1.0,80,100,bytes_per_interaction,810.0749949877403,832.7239938033283,22.648998815588016,0.027959138296733608
corridor,1.0,80,100,cache_entries_final,685.4,1019.6,334.20000000000005,0.48759848263787575
corridor,1.0,80,100,cache_entries_peak,685.4,1019.6,334.20000000000005,0.48759848263787575
corridor,2.0,20,40,observed_vehicle_count,20.0,40.0,20.0,1.0
corridor,2.0,20,40,interactions,1686.0,3378.0,1692.0,1.00355871886121
corridor,2.0,20,40,mean_active_vehicles,17.8,35.589473684210525,17.789473684210524,0.9994086339444114
corridor,2.0,20,40,peak_active_vehicles,20.0,40.0,20.0,1.0
corridor,2.0,20,40,cache_hits,952.9,1855.6,902.6999999999999,0.9473187113023401
corridor,2.0,20,40,cache_misses,733.1,1522.4,789.3000000000001,1.0766607556949939
corridor,2.0,20,40,cache_hit_rate,0.5651838671411625,0.5493191237418591,-0.015864743399303438,-0.02807005705868989
corridor,2.0,20,40,v2i_queries,733.1,1522.4,789.3000000000001,1.0766607556949939
corridor,2.0,20,40,v2i_queries_avoided,952.9,1855.6,902.6999999999999,0.9473187113023401
corridor,2.0,20,40,query_failures,0.0,0.1,0.1,
corridor,2.0,20,40,accepted,1250.0,2462.6,1212.6,0.9700799999999999
corridor,2.0,20,40,rejected,436.0,915.4,479.4,1.0995412844036696
corridor,2.0,20,40,anomaly_escalations,33.4,70.3,36.9,1.1047904191616766
corridor,2.0,20,40,stale_trust_acceptances,7.6,11.3,3.700000000000001,0.4868421052631581
corridor,2.0,20,40,stale_acceptance_rate,0.00450771055753256,0.0033451746595618004,-0.0011625358979707595,-0.25789941104983255
corridor,2.0,20,40,authorization_latency_mean_ms,7.52718142316363,7.787218023350879,0.2600366001872487,0.03454634418496012
corridor,2.0,20,40,authorization_latency_p95_ms,22.113521994120823,22.25683794557669,0.14331595145586817,0.006480919298787893
corridor,2.0,20,40,messages_total,1498.8,3110.7,1611.8999999999999,1.0754603682946358
corridor,2.0,20,40,messages_per_interaction,0.8889679715302492,0.9208703374777976,0.03190236594754836,0.03588696890016448
corridor,2.0,20,40,bytes_total,1055961.6,2191769.6,1135808.0,1.0756148708437883
corridor,2.0,20,40,bytes_per_interaction,626.3117437722419,648.8364712847839,22.524727512541972,0.03596408296110935
corridor,2.0,20,40,cache_entries_final,222.9,477.1,254.20000000000002,1.1404217137729924
corridor,2.0,20,40,cache_entries_peak,222.9,477.1,254.20000000000002,1.1404217137729924
corridor,2.0,40,60,observed_vehicle_count,40.0,60.0,20.0,0.5
corridor,2.0,40,60,interactions,3378.0,4952.1,1574.1000000000004,0.46598579040852584
corridor,2.0,40,60,mean_active_vehicles,35.589473684210525,52.148421052631576,16.55894736842105,0.465276545400769
corridor,2.0,40,60,peak_active_vehicles,40.0,60.0,20.0,0.5
corridor,2.0,40,60,cache_hits,1855.6,2866.0,1010.4000000000001,0.5445139038585903
corridor,2.0,40,60,cache_misses,1522.4,2086.1,563.6999999999998,0.37027062532842864
corridor,2.0,40,60,cache_hit_rate,0.5493191237418591,0.578754463712382,0.029435339970522945,0.053585136031702146
corridor,2.0,40,60,v2i_queries,1522.4,2086.1,563.6999999999998,0.37027062532842864
corridor,2.0,40,60,v2i_queries_avoided,1855.6,2866.0,1010.4000000000001,0.5445139038585903
corridor,2.0,40,60,query_failures,0.1,0.1,0.0,0.0
corridor,2.0,40,60,accepted,2462.6,3614.3,1151.7000000000003,0.46767643953545046
corridor,2.0,40,60,rejected,915.4,1337.8,422.4,0.46143762289709417
corridor,2.0,40,60,anomaly_escalations,70.3,97.0,26.700000000000003,0.3798008534850641
corridor,2.0,40,60,stale_trust_acceptances,11.3,17.6,6.300000000000001,0.5575221238938053
corridor,2.0,40,60,stale_acceptance_rate,0.0033451746595618004,0.0035543650033188295,0.00020919034375702908,0.06253495408949196
corridor,2.0,40,60,authorization_latency_mean_ms,7.787218023350879,7.287743654207721,-0.499474369143158,-0.06414028317242769
corridor,2.0,40,60,authorization_latency_p95_ms,22.25683794557669,22.078134859460942,-0.1787030861157497,-0.008029131835920342
corridor,2.0,40,60,messages_total,3110.7,4261.0,1150.3000000000002,0.3697881505770406
corridor,2.0,40,60,messages_per_interaction,0.9208703374777976,0.8604245086490014,-0.06044582882879612,-0.06563989127324181
corridor,2.0,40,60,bytes_total,2191769.6,3001804.8,810035.1999999997,0.3695804522519154
corridor,2.0,40,60,bytes_per_interaction,648.8364712847839,606.1547951713998,-42.68167611338413,-0.06578186955007113
corridor,2.0,40,60,cache_entries_final,477.1,570.4,93.29999999999995,0.1955564871096205
corridor,2.0,40,60,cache_entries_peak,477.1,570.4,93.29999999999995,0.1955564871096205
corridor,2.0,60,80,observed_vehicle_count,60.0,80.0,20.0,0.3333333333333333
corridor,2.0,60,80,interactions,4952.1,6293.3,1341.1999999999998,0.27083459542416344
corridor,2.0,60,80,mean_active_vehicles,52.148421052631576,66.25578947368422,14.10736842105264,0.2705234048565836
corridor,2.0,60,80,peak_active_vehicles,60.0,80.0,20.0,0.3333333333333333
corridor,2.0,60,80,cache_hits,2866.0,3667.3,801.3000000000002,0.2795882763433357
corridor,2.0,60,80,cache_misses,2086.1,2626.0,539.9000000000001,0.2588083025741815
corridor,2.0,60,80,cache_hit_rate,0.578754463712382,0.5826890767142154,0.003934613001833398,0.006798414955791588
corridor,2.0,60,80,v2i_queries,2086.1,2626.0,539.9000000000001,0.2588083025741815
corridor,2.0,60,80,v2i_queries_avoided,2866.0,3667.3,801.3000000000002,0.2795882763433357
corridor,2.0,60,80,query_failures,0.1,0.1,0.0,0.0
corridor,2.0,60,80,accepted,3614.3,4600.9,986.5999999999995,0.2729712530780509
corridor,2.0,60,80,rejected,1337.8,1692.4,354.60000000000014,0.2650620421587682
corridor,2.0,60,80,anomaly_escalations,97.0,127.4,30.400000000000006,0.31340206185567016
corridor,2.0,60,80,stale_trust_acceptances,17.6,24.2,6.599999999999998,0.37499999999999983
corridor,2.0,60,80,stale_acceptance_rate,0.0035543650033188295,0.0038469646508088305,0.000292599647490001,0.08232121552423315
corridor,2.0,60,80,authorization_latency_mean_ms,7.287743654207721,7.227214304689332,-0.060529349518389175,-0.008305636475487358
corridor,2.0,60,80,authorization_latency_p95_ms,22.078134859460942,22.067757180737747,-0.01037767872319506,-0.0004700432708312772
corridor,2.0,60,80,messages_total,4261.0,5364.3,1103.3000000000002,0.25892982867871395
corridor,2.0,60,80,messages_per_interaction,0.8604245086490014,0.8524718729739936,-0.007952635675007813,-0.009242688457927205
corridor,2.0,60,80,bytes_total,3001804.8,3778841.6,777036.8000000003,0.25885653857306123
corridor,2.0,60,80,bytes_per_interaction,606.1547951713998,600.5175990238376,-5.637196147562122,-0.009299928322711884
corridor,2.0,60,80,cache_entries_final,570.4,685.4,115.0,0.20161290322580647
corridor,2.0,60,80,cache_entries_peak,570.4,685.4,115.0,0.20161290322580647
