topology,vehicle_count,seed,observed_vehicle_count,peak_concurrent_vehicles,cases,v2x_messages,detection_events,attack_vehicle_count,attack_vehicle_ratio,trace_path
corridor,100,1009,100,100,603,8249,88964,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_100\seed_1009\shared_detection_trace.jsonl
corridor,100,1010,100,100,603,8281,89286,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\corridor\vehicles_100\seed_1010\shared_detection_trace.jsonl
intersection,20,1001,20,20,121,1742,17437,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_20\seed_1001\shared_detection_trace.jsonl
intersection,20,1002,20,20,120,1722,16842,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_20\seed_1002\shared_detection_trace.jsonl
intersection,20,1003,20,20,118,1688,15947,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_20\seed_1003\shared_detection_trace.jsonl
intersection,20,1004,20,20,118,1692,16438,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_20\seed_1004\shared_detection_trace.jsonl
intersection,20,1005,20,20,122,1753,17446,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_20\seed_1005\shared_detection_trace.jsonl
intersection,20,1006,20,20,114,1669,15992,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_20\seed_1006\shared_detection_trace.jsonl
intersection,20,1007,20,20,114,1665,16049,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_20\seed_1007\shared_detection_trace.jsonl
intersection,20,1008,20,20,117,1687,16128,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_20\seed_1008\shared_detection_trace.jsonl
intersection,20,1009,20,20,114,1646,15976,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_20\seed_1009\shared_detection_trace.jsonl
intersection,20,1010,20,20,118,1710,16892,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_20\seed_1010\shared_detection_trace.jsonl
intersection,40,1001,40,40,245,3525,43491,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_40\seed_1001\shared_detection_trace.jsonl
intersection,40,1002,40,40,240,3462,41612,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_40\seed_1002\shared_detection_trace.jsonl
intersection,40,1003,40,40,241,3464,41390,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_40\seed_1003\shared_detection_trace.jsonl
intersection,40,1004,40,40,240,3440,41259,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_40\seed_1004\shared_detection_trace.jsonl
intersection,40,1005,40,40,249,3566,43653,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_40\seed_1005\shared_detection_trace.jsonl
intersection,40,1006,40,40,240,3411,40783,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_40\seed_1006\shared_detection_trace.jsonl
intersection,40,1007,40,40,242,3455,40986,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_40\seed_1007\shared_detection_trace.jsonl
intersection,40,1008,40,40,243,3478,41964,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_40\seed_1008\shared_detection_trace.jsonl
intersection,40,1009,40,40,237,3423,40683,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_40\seed_1009\shared_detection_trace.jsonl
intersection,40,1010,40,40,243,3478,41337,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_40\seed_1010\shared_detection_trace.jsonl
intersection,60,1001,60,60,369,5232,66149,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_60\seed_1001\shared_detection_trace.jsonl
intersection,60,1002,60,60,364,5178,64877,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_60\seed_1002\shared_detection_trace.jsonl
intersection,60,1003,60,60,363,5148,64505,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_60\seed_1003\shared_detection_trace.jsonl
intersection,60,1004,60,60,362,5147,64460,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_60\seed_1004\shared_detection_trace.jsonl
intersection,60,1005,60,60,371,5256,66489,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_60\seed_1005\shared_detection_trace.jsonl
intersection,60,1006,60,60,359,5107,63638,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_60\seed_1006\shared_detection_trace.jsonl
intersection,60,1007,60,60,367,5183,64638,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_60\seed_1007\shared_detection_trace.jsonl
intersection,60,1008,60,60,363,5169,64947,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_60\seed_1008\shared_detection_trace.jsonl
intersection,60,1009,60,60,356,5107,64102,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_60\seed_1009\shared_detection_trace.jsonl
intersection,60,1010,60,60,363,5159,64484,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_60\seed_1010\shared_detection_trace.jsonl
intersection,80,1001,80,80,474,6623,84547,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_80\seed_1001\shared_detection_trace.jsonl
intersection,80,1002,80,80,471,6580,83540,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_80\seed_1002\shared_detection_trace.jsonl
intersection,80,1003,80,80,468,6546,83000,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_80\seed_1003\shared_detection_trace.jsonl
intersection,80,1004,80,80,471,6569,83374,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_80\seed_1004\shared_detection_trace.jsonl
intersection,80,1005,80,80,476,6642,84385,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_80\seed_1005\shared_detection_trace.jsonl
intersection,80,1006,80,80,465,6514,82180,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_80\seed_1006\shared_detection_trace.jsonl
intersection,80,1007,80,80,475,6614,83958,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_80\seed_1007\shared_detection_trace.jsonl
intersection,80,1008,80,80,469,6575,83294,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_80\seed_1008\shared_detection_trace.jsonl
intersection,80,1009,80,80,461,6536,82850,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_80\seed_1009\shared_detection_trace.jsonl
intersection,80,1010,80,80,469,6550,83055,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_80\seed_1010\shared_detection_trace.jsonl
intersection,100,1001,100,100,573,7766,99306,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_100\seed_1001\shared_detection_trace.jsonl
intersection,100,1002,100,100,571,7729,98391,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_100\seed_1002\shared_detection_trace.jsonl
intersection,100,1003,100,100,568,7701,98034,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_100\seed_1003\shared_detection_trace.jsonl
intersection,100,1004,100,100,570,7729,98563,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_100\seed_1004\shared_detection_trace.jsonl
intersection,100,1005,100,100,576,7815,99825,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_100\seed_1005\shared_detection_trace.jsonl
intersection,100,1006,100,100,565,7685,97696,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_100\seed_1006\shared_detection_trace.jsonl
intersection,100,1007,100,100,575,7767,98879,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_100\seed_1007\shared_detection_trace.jsonl
intersection,100,1008,100,100,571,7737,98489,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_100\seed_1008\shared_detection_trace.jsonl
intersection,100,1009,100,100,561,7687,97751,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_100\seed_1009\shared_detection_trace.jsonl
