event_id,case_id,observation_root_id,seed,vehicle_id,pseudonym,message_id,attack_type,detected_by,source_kind,validator_rsu_id,detected_at,ground_truth_malicious,direction,detector_confidence,source_reliability,freshness,verifiability,independence,raw_evidence_hash,geographic_cell,administrative_domain_id,sensor_modality,reason_codes,payload
det-35cc2e710bfc2804bb095737,case-grid-1006-veh_000-benign,root-31f239fbb0aa3a6e2b45a217,1006,veh_000,ps-d23e9a2e8e32761c,cam-1006-veh_000-000004,benign,rsu-1,rsu,rsu-1,5.0,False,-1,0.78,0.96,0.99,0.76,0.92,36feeed03fee44fa64ac4e53326cc765cb8240abb36cfdabf0e7a74d3591eadb,cell-0-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 5.0, ""compromised_rsu"": false, ""observer_distance_m"": 135.1835010224336}"
det-c6db4b5dd7224659ac52376e,case-grid-1006-veh_000-benign,root-31f239fbb0aa3a6e2b45a217,1006,veh_000,ps-d23e9a2e8e32761c,cam-1006-veh_000-000004,benign,rsu-6,rsu,rsu-6,5.0,False,-1,0.78,0.8999999999999999,0.99,0.76,0.68,41a00e319a75cf9f363d5d4defb0832e7790f92553a920561e01b18672395666,cell-0-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 5.0, ""compromised_rsu"": false, ""observer_distance_m"": 406.79843426051247}"
det-7389bc59e9d3f17424a9a5f7,case-grid-1006-veh_001-benign,root-646b7b1b5d30564a594c4b22,1006,veh_001,ps-bc1c02440651b6a5,cam-1006-veh_001-000003,benign,rsu-3,rsu,rsu-3,5.0,False,-1,0.78,0.9359999999999999,0.99,0.76,0.92,726eb30b7b5c1e013c25443ecbca7ad6712a14b9dc434d1ac8379c972a7dee2d,cell-3-1,domain-2,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 5.0, ""compromised_rsu"": false, ""observer_distance_m"": 353.67290120161005}"
det-10e6404ad910c32c1c7c6393,case-grid-1006-veh_001-benign,root-646b7b1b5d30564a594c4b22,1006,veh_001,ps-bc1c02440651b6a5,cam-1006-veh_001-000003,benign,rsu-4,rsu,rsu-4,5.0,False,-1,0.78,0.9239999999999999,0.99,0.76,0.68,36f956f5c9b5ceae849602c66ccc7dc47ada5aaca731c1f316d85da03325834e,cell-2-3,domain-2,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 5.0, ""compromised_rsu"": false, ""observer_distance_m"": 203.7378105030229}"
det-bef695f8bbc68f67884d84a6,case-grid-1006-veh_002-benign,root-273374b182ed977df3a6c041,1006,veh_002,ps-1c6d96a872d445c5,cam-1006-veh_002-000002,benign,rsu-5,rsu,rsu-5,5.0,False,-1,0.78,0.9119999999999999,0.99,0.76,0.92,d411dcebbe3f0a7d685e4306ae3b8592b574f4a61329961cf954e88f32b8f2f0,cell-0-3,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 5.0, ""compromised_rsu"": false, ""observer_distance_m"": 163.0463765983131}"
det-92825cad899439afb2d810a0,case-grid-1006-veh_002-benign,root-273374b182ed977df3a6c041,1006,veh_002,ps-1c6d96a872d445c5,cam-1006-veh_002-000002,benign,rsu-6,rsu,rsu-6,5.0,False,-1,0.78,0.8999999999999999,0.99,0.76,0.68,4bc92590b8b99b4a5543f7f3e1655c570b74b1627f4fb03066f334ce32b61c1a,cell-0-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 5.0, ""compromised_rsu"": false, ""observer_distance_m"": 400.11087284521676}"
det-02688b9191f7fa50df8a12ad,case-grid-1006-veh_003-benign,root-28b67996d9d8c0ca59fd90cf,1006,veh_003,ps-14c7f29f7b5c3bcf,cam-1006-veh_003-000001,benign,rsu-2,rsu,rsu-2,5.0,False,-1,0.78,0.948,0.99,0.76,0.92,5edce11e0c5041d46cf587efdf17706f66bf49fd779dd682c64c09dc25f337f6,cell-2-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 5.0, ""compromised_rsu"": false, ""observer_distance_m"": 202.97577468739433}"
det-10d31634866ffa497ed220a7,case-grid-1006-veh_003-benign,root-28b67996d9d8c0ca59fd90cf,1006,veh_003,ps-14c7f29f7b5c3bcf,cam-1006-veh_003-000001,benign,rsu-3,rsu,rsu-3,5.0,False,-1,0.78,0.9359999999999999,0.99,0.76,0.68,d84b09642422715fc0904934d4b85f2329201070b39aa3d333f821077f9053ba,cell-3-1,domain-2,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 5.0, ""compromised_rsu"": false, ""observer_distance_m"": 376.41092060947545}"
det-9264c10007b4867c9cda5a45,case-grid-1006-veh_004-benign,root-d353b8054d5fc73611180111,1006,veh_004,ps-78672aa152e44d3c,cam-1006-veh_004-000000,benign,rsu-1,rsu,rsu-1,5.0,False,-1,0.78,0.96,0.99,0.76,0.92,2edcb209f4280894fbfec5c01f862fba02d4fec4e26f963864d8c23622a43f5f,cell-0-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 5.0, ""compromised_rsu"": false, ""observer_distance_m"": 440.40191870608373}"
det-f28316d5599d0f7b486d37a6,case-grid-1006-veh_004-benign,root-d353b8054d5fc73611180111,1006,veh_004,ps-78672aa152e44d3c,cam-1006-veh_004-000000,benign,rsu-5,rsu,rsu-5,5.0,False,-1,0.78,0.9119999999999999,0.99,0.76,0.68,f8565291e665d02b6d225978b653d1718d9047c7149fc05a0540f725a45b2fde,cell-0-3,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 5.0, ""compromised_rsu"": false, ""observer_distance_m"": 443.29882697792016}"
