seed,case_id,source_kind,attestations,independent_roots,correlated_reports_suppressed,suppression_rate
1010,case-1010-veh_018-w0005,rsu,30,15,15,0.5
1010,case-1010-veh_018-w0005,vehicle_witness,57,57,0,0.0
1010,case-1010-veh_018-w0006,rsu,12,6,6,0.5
1010,case-1010-veh_018-w0006,vehicle_witness,12,12,0,0.0
1010,case-1010-veh_019-w0001,rsu,20,10,10,0.5
1010,case-1010-veh_019-w0001,vehicle_witness,10,10,0,0.0
1010,case-1010-veh_019-w0002,rsu,30,15,15,0.5
1010,case-1010-veh_019-w0002,vehicle_witness,38,38,0,0.0
1010,case-1010-veh_019-w0003,rsu,30,15,15,0.5
1010,case-1010-veh_019-w0003,vehicle_witness,45,45,0,0.0
1010,case-1010-veh_019-w0004,rsu,30,15,15,0.5
1010,case-1010-veh_019-w0004,vehicle_witness,57,57,0,0.0
1010,case-1010-veh_019-w0005,rsu,32,15,17,0.53125
1010,case-1010-veh_019-w0005,vehicle_witness,64,64,0,0.0
1010,case-1010-veh_019-w0006,rsu,14,6,8,0.5714285714285714
1010,case-1010-veh_019-w0006,vehicle_witness,12,12,0,0.0
1010,case-1010-veh_020-w0001,rsu,27,9,18,0.6666666666666666
1010,case-1010-veh_020-w0001,vehicle_witness,9,9,0,0.0
1010,case-1010-veh_020-w0002,rsu,45,15,30,0.6666666666666666
1010,case-1010-veh_020-w0002,vehicle_witness,51,51,0,0.0
1010,case-1010-veh_020-w0003,rsu,55,15,40,0.7272727272727273
1010,case-1010-veh_020-w0003,vehicle_witness,117,117,0,0.0
1010,case-1010-veh_020-w0004,rsu,55,15,40,0.7272727272727273
1010,case-1010-veh_020-w0004,vehicle_witness,64,64,0,0.0
1010,case-1010-veh_020-w0005,rsu,45,15,30,0.6666666666666666
1010,case-1010-veh_020-w0005,vehicle_witness,34,34,0,0.0
1010,case-1010-veh_020-w0006,rsu,15,5,10,0.6666666666666666
1010,case-1010-veh_020-w0006,vehicle_witness,11,11,0,0.0
1010,case-1010-veh_021-w0001,rsu,24,8,16,0.6666666666666666
1010,case-1010-veh_021-w0001,vehicle_witness,30,30,0,0.0
1010,case-1010-veh_021-w0002,rsu,46,15,31,0.6739130434782609
1010,case-1010-veh_021-w0002,vehicle_witness,87,87,0,0.0
1010,case-1010-veh_021-w0003,rsu,60,15,45,0.75
1010,case-1010-veh_021-w0003,vehicle_witness,118,118,0,0.0
1010,case-1010-veh_021-w0004,rsu,55,15,40,0.7272727272727273
1010,case-1010-veh_021-w0004,vehicle_witness,63,63,0,0.0
1010,case-1010-veh_021-w0005,rsu,45,15,30,0.6666666666666666
1010,case-1010-veh_021-w0005,vehicle_witness,29,29,0,0.0
