central_comparator,topology,vehicle_count,metric,paired_seed_count,distributed_mean,central_mean,mean_difference_distributed_minus_central,ci95_lower,ci95_upper,wilcoxon_raw_p,rank_biserial,holm_adjusted_p_within_comparator_metric_20_cells,holm_reject_0_05,analysis_family
central_crn_available_0ms,corridor,100,trust_f1,10,0.7853427253548952,0.7853427253548952,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,100,mcc,10,0.7696170080240453,0.7696170080240453,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,100,latency_p95_ms,10,15535.359848074298,14552.595441054775,982.7644070195227,945.168124940306,1018.9338401228894,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,100,messages_per_decision,10,30.44158724909338,39.20936316837056,-8.767775919277167,-8.835822339531674,-8.680561013679794,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,100,bytes_per_decision,10,30553.18750694808,27603.391670532867,2949.79583641521,2719.0707375493253,3186.5130111879344,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,100,mean_queue_delay_ms,10,5190.353564088477,6191.003205290226,-1000.6496412017498,-1010.1995304742359,-989.5477342359363,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,100,packet_delivery_ratio,10,0.979879501235985,0.9800614446939179,-0.0001819434579327539,-0.0006052568752277842,0.000255349436901823,0.375,-0.34545454545454546,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,100,cpu_time_seconds,10,8.8484375,6.090625,2.7578125,2.6609375,2.8453515625,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,100,peak_memory_kb,10,19809.67763671875,20769.97626953125,-960.2986328125,-996.9385327148437,-929.798701171875,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,20,trust_precision,10,0.9045454545454545,0.9045454545454545,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,20,malicious_revocation_recall,10,0.65,0.65,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,20,false_revocation_rate,10,0.010588586297498499,0.010588586297498499,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,20,trust_f1,10,0.7560846560846559,0.7560846560846559,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,20,mcc,10,0.7383032003229993,0.7383032003229993,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,20,latency_p95_ms,10,14354.966804497715,14123.499800688976,231.46700380873864,218.9189512139214,244.86085989291925,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,20,messages_per_decision,10,26.428095705142688,36.36093413426626,-9.932838429123574,-10.096953158225622,-9.762068853632265,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,20,bytes_per_decision,10,30472.832936975996,25598.097630523444,4874.735306452544,4500.857801798327,5253.776648734194,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,20,mean_queue_delay_ms,10,3940.3682299795028,5830.354778647926,-1889.9865486684234,-1940.4616186062756,-1838.4607881207735,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,20,packet_delivery_ratio,10,0.9798969973912344,0.9800944219473147,-0.00019742455608048325,-0.0012013229913938812,0.0007413740488418236,1.0,0.01818181818181818,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,20,cpu_time_seconds,10,1.746875,1.109375,0.6375,0.5952734375000001,0.68125,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,20,peak_memory_kb,10,3680.72724609375,3871.16708984375,-190.43984375,-214.43804931640625,-165.34996826171874,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,40,trust_precision,10,0.9199717204889619,0.9199717204889619,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,40,malicious_revocation_recall,10,0.825,0.825,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,40,false_revocation_rate,10,0.011051447452928149,0.011051447452928149,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,40,trust_f1,10,0.8695814249477902,0.8695814249477902,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,40,mcc,10,0.8527060615768922,0.8527060615768922,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,40,latency_p95_ms,10,14873.792889793836,14203.48111882018,670.3117709736571,644.9716666769813,694.032434614845,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,40,messages_per_decision,10,29.20570943466263,38.363723300076515,-9.15801386541388,-9.255548450830464,-9.027460417061116,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,40,bytes_per_decision,10,36567.47599097122,27008.061203253863,9559.414787717371,8839.68619855772,10338.784153986318,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,40,mean_queue_delay_ms,10,4555.111420511845,6257.676268827245,-1702.5648483154005,-1753.882113803175,-1651.4839726390555,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,40,packet_delivery_ratio,10,0.9798514035634843,0.9796239846668948,0.00022741889658925985,-0.00042381229183010346,0.0008625304454724998,0.556640625,0.23636363636363636,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,40,cpu_time_seconds,10,4.1046875,2.3453125,1.759375,1.6890625,1.828125,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,40,peak_memory_kb,10,7891.82744140625,8170.98017578125,-279.152734375,-308.7120629882813,-248.6748193359375,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,60,trust_precision,10,0.9104067609120301,0.9104067609120301,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,60,malicious_revocation_recall,10,0.7469387755102039,0.7469387755102039,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,60,false_revocation_rate,10,0.01136939870440906,0.01136939870440906,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,60,trust_f1,10,0.8202886872041724,0.8202886872041724,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,60,mcc,10,0.8009036762870899,0.8009036762870899,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,60,latency_p95_ms,10,15215.494309665964,14290.778471377174,924.7158382887894,876.709995037391,977.6390404958778,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,60,messages_per_decision,10,28.161372226702262,37.75871661275086,-9.597344386048595,-9.692835554123793,-9.505285390260562,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,60,bytes_per_decision,10,33001.71209946382,26582.136495376606,6419.575604087212,5957.3490393529755,6901.149120235453,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,60,mean_queue_delay_ms,10,4977.018787384083,6415.504233596117,-1438.4854462120334,-1482.1326038183786,-1398.0505208723885,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,60,packet_delivery_ratio,10,0.9801078797094875,0.9799808643062802,0.00012701540320736449,-0.0003300655204236491,0.0005103462398489945,0.4921875,0.2727272727272727,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,60,cpu_time_seconds,10,5.7453125,3.5390625,2.20625,2.109375,2.321875,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,60,peak_memory_kb,10,11613.38212890625,12250.32255859375,-636.9404296875,-687.6781518554687,-578.5004833984375,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,80,trust_precision,10,0.8893449348776763,0.8905695950368537,-0.0012246601591773486,-0.0018334329377614367,-0.000608772778584088,0.03125,-1.0,0.625,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,80,malicious_revocation_recall,10,0.706060606060606,0.7151515151515151,-0.009090909090909084,-0.013636363636363624,-0.004545454545454542,0.03125,-1.0,0.625,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,80,false_revocation_rate,10,0.01357026013084349,0.01357026013084349,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,80,trust_f1,10,0.7871151624491605,0.7932227493344144,-0.006107586885253868,-0.009155780521682788,-0.0030453450393629566,0.03125,-1.0,0.625,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,80,mcc,10,0.7650929650040449,0.7712508188532492,-0.006157853849204265,-0.009241787422454927,-0.0030671117060856457,0.03125,-1.0,0.625,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,80,latency_p95_ms,10,15630.797662723835,14394.703061443593,1236.094601280239,1190.6110777777915,1286.6182166127721,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,80,messages_per_decision,10,28.396295763809963,38.09844991369759,-9.702154149887624,-9.7577437003937,-9.651127996261419,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,80,bytes_per_decision,10,33768.772322685356,26821.308739243097,6947.463583442247,6633.474597564096,7276.43924139694,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,80,mean_queue_delay_ms,10,5209.967544503098,6477.110406860151,-1267.1428623570519,-1289.3113534561542,-1243.8066359732288,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,80,packet_delivery_ratio,10,0.979967511848408,0.9801335634580914,-0.00016605160968333755,-0.0003690238114687922,5.592065444213083e-05,0.130859375,-0.5636363636363636,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,80,cpu_time_seconds,10,8.065625,4.8625,3.203125,3.0671484375,3.3421875,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,80,peak_memory_kb,10,15898.37626953125,16657.86376953125,-759.4875,-892.1041235351563,-617.3038427734376,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,100,trust_precision,10,0.9110241621920299,0.9111880966182593,-0.00016393442622951725,-0.0004918032786885518,0.0,1.0,-1.0,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,100,malicious_revocation_recall,10,0.6755163511187608,0.676706827309237,-0.0011904761904761862,-0.0035714285714285587,0.0,1.0,-1.0,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,100,false_revocation_rate,10,0.01038381285764876,0.01038381285764876,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
