topology,vehicle_count,seed,architecture,backhaul_extra_latency_ms,message_type,messages,delivered,dropped,bytes_total,retransmissions,mean_queue_delay_ms
smoke,40,1003,distributed_crn_honest,0.0,PREPARE,247,240,7,86944,7,0.0
smoke,40,1003,distributed_crn_honest,0.0,PRE_PREPARE,61,60,1,33184,1,0.0
smoke,40,1003,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,5240,5137,103,3688960,103,5211.783867150973
smoke,40,1003,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,42,40,2,47040,2,0.0
smoke,40,1003,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,61,60,1,1943232,1,88.94235484852247
smoke,40,1003,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,7955,7801,154,5600320,154,5960.17250232577
smoke,40,1003,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,7955,7801,154,5600320,154,5960.17250232577
smoke,40,1004,distributed_crn_honest,0.0,COMMIT,268,264,4,94336,4,0.0
smoke,40,1004,distributed_crn_honest,0.0,LEDGER_REPLICATION,67,66,1,75040,1,0.0
smoke,40,1004,distributed_crn_honest,0.0,PREPARE,266,264,2,93632,2,0.0
smoke,40,1004,distributed_crn_honest,0.0,PRE_PREPARE,67,66,1,36448,1,0.0
smoke,40,1004,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,5287,5191,96,3722048,96,5268.182722740708
smoke,40,1004,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,44,44,0,49280,0,0.0
smoke,40,1004,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,68,66,2,2098688,2,99.89653348512138
smoke,40,1004,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,7993,7846,147,5627072,147,5951.609390216623
smoke,40,1004,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,7993,7846,147,5627072,147,5951.609390216623
smoke,40,1005,distributed_crn_honest,0.0,COMMIT,231,228,3,81312,3,0.0
smoke,40,1005,distributed_crn_honest,0.0,LEDGER_REPLICATION,59,57,2,66080,2,0.0
smoke,40,1005,distributed_crn_honest,0.0,PREPARE,231,228,3,81312,3,0.0
smoke,40,1005,distributed_crn_honest,0.0,PRE_PREPARE,59,57,2,32096,2,0.0
smoke,40,1005,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,5308,5225,83,3736832,83,5172.30709256335
smoke,40,1005,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,39,38,1,43680,1,0.0
smoke,40,1005,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,58,57,1,1877312,1,68.9924503441098
smoke,40,1005,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,8025,7898,127,5649600,127,5960.63536647992
smoke,40,1005,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,8025,7898,127,5649600,127,5960.63536647992
smoke,40,1006,distributed_crn_honest,0.0,COMMIT,246,240,6,86592,6,0.0
smoke,40,1006,distributed_crn_honest,0.0,LEDGER_REPLICATION,63,60,3,70560,3,0.0
smoke,40,1006,distributed_crn_honest,0.0,PREPARE,244,240,4,85888,4,0.05301860904459011
smoke,40,1006,distributed_crn_honest,0.0,PRE_PREPARE,61,60,1,33184,1,0.0
smoke,40,1006,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,5273,5175,98,3712192,98,5186.666582523442
smoke,40,1006,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,40,40,0,44800,0,0.0
smoke,40,1006,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,61,60,1,1950976,1,85.6127562507821
smoke,40,1006,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,8010,7849,161,5639040,161,5948.603772284823
smoke,40,1006,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,8010,7849,161,5639040,161,5948.603772284823
smoke,40,1007,distributed_crn_honest,0.0,COMMIT,244,240,4,85888,4,0.0
smoke,40,1007,distributed_crn_honest,0.0,LEDGER_REPLICATION,60,60,0,67200,0,0.0
smoke,40,1007,distributed_crn_honest,0.0,PREPARE,246,240,6,86592,6,0.0
smoke,40,1007,distributed_crn_honest,0.0,PRE_PREPARE,63,60,3,34272,3,0.0
smoke,40,1007,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,5274,5181,93,3712896,93,5143.8116595345155
smoke,40,1007,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,41,40,1,45920,1,0.0
smoke,40,1007,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,61,60,1,2000256,1,116.14186086702267
smoke,40,1007,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,7986,7834,152,5622144,152,5922.2193538694555
smoke,40,1007,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,7986,7834,152,5622144,152,5922.2193538694555
smoke,40,1008,distributed_crn_honest,0.0,COMMIT,269,264,5,94688,5,0.0
smoke,40,1008,distributed_crn_honest,0.0,LEDGER_REPLICATION,66,66,0,73920,0,0.0
smoke,40,1008,distributed_crn_honest,0.0,PREPARE,269,264,5,94688,5,0.0
smoke,40,1008,distributed_crn_honest,0.0,PRE_PREPARE,67,66,1,36448,1,0.0
smoke,40,1008,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,5237,5129,108,3686848,107,5218.117874074203
smoke,40,1008,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,44,44,0,49280,0,0.0
smoke,40,1008,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,68,66,2,2431680,2,159.5269723893386
smoke,40,1008,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,7946,7784,162,5593984,161,5930.627191543094
smoke,40,1008,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,7946,7784,162,5593984,161,5930.627191543094
smoke,40,1009,distributed_crn_honest,0.0,COMMIT,270,264,6,95040,6,0.0
smoke,40,1009,distributed_crn_honest,0.0,LEDGER_REPLICATION,66,66,0,73920,0,0.0
smoke,40,1009,distributed_crn_honest,0.0,PREPARE,266,264,2,93632,2,0.0
smoke,40,1009,distributed_crn_honest,0.0,PRE_PREPARE,68,66,2,36992,2,0.0
smoke,40,1009,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,5364,5237,127,3776256,127,5142.536466756455
smoke,40,1009,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,46,44,2,51520,2,0.0
smoke,40,1009,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,68,66,2,2090240,2,100.53449596757915
smoke,40,1009,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,8088,7897,191,5693952,191,5914.973294757845
smoke,40,1009,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,8088,7897,191,5693952,191,5914.973294757845
smoke,40,1010,distributed_crn_honest,0.0,COMMIT,258,252,6,90816,6,0.0
smoke,40,1010,distributed_crn_honest,0.0,LEDGER_REPLICATION,63,63,0,70560,0,0.0
smoke,40,1010,distributed_crn_honest,0.0,PREPARE,254,252,2,89408,2,0.0
smoke,40,1010,distributed_crn_honest,0.0,PRE_PREPARE,64,63,1,34816,1,0.0
smoke,40,1010,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,5244,5144,100,3691776,100,5236.353691422686
smoke,40,1010,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,42,42,0,47040,0,0.0
smoke,40,1010,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,64,63,1,1710656,1,93.81270507996433
smoke,40,1010,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,7912,7765,147,5570048,147,5952.574911021423
smoke,40,1010,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,7912,7765,147,5570048,147,5952.574911021423
smoke,60,1001,distributed_crn_honest,0.0,COMMIT,280,276,4,98560,4,0.0
smoke,60,1001,distributed_crn_honest,0.0,LEDGER_REPLICATION,70,69,1,78400,1,0.0
smoke,60,1001,distributed_crn_honest,0.0,PREPARE,279,276,3,98208,3,0.0
smoke,60,1001,distributed_crn_honest,0.0,PRE_PREPARE,72,69,3,39168,3,0.0
smoke,60,1001,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,6729,6611,118,4737216,118,5407.821057235434
smoke,60,1001,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,50,46,4,56000,4,0.0
smoke,60,1001,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,70,69,1,2011456,1,102.76944313074381
smoke,60,1001,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,10354,10162,192,7289216,192,6017.850912111682
smoke,60,1001,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,10354,10162,192,7289216,192,6017.850912111682
smoke,60,1002,distributed_crn_honest,0.0,COMMIT,247,240,7,86944,7,0.0
smoke,60,1002,distributed_crn_honest,0.0,LEDGER_REPLICATION,63,60,3,70560,3,0.0
smoke,60,1002,distributed_crn_honest,0.0,PREPARE,245,240,5,86240,5,0.0
smoke,60,1002,distributed_crn_honest,0.0,PRE_PREPARE,60,60,0,32640,0,0.0
smoke,60,1002,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,6765,6655,110,4762560,110,5313.899938154811
smoke,60,1002,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,40,40,0,44800,0,0.0
smoke,60,1002,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,60,60,0,1778112,0,64.55567273077334
smoke,60,1002,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,10364,10176,188,7296256,188,5998.896232343126
smoke,60,1002,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,10364,10176,188,7296256,188,5998.896232343126
smoke,60,1003,distributed_crn_honest,0.0,COMMIT,270,264,6,95040,6,0.0
smoke,60,1003,distributed_crn_honest,0.0,LEDGER_REPLICATION,67,66,1,75040,1,0.0
smoke,60,1003,distributed_crn_honest,0.0,PREPARE,271,264,7,95392,7,0.0
smoke,60,1003,distributed_crn_honest,0.0,PRE_PREPARE,67,66,1,36448,1,0.0
smoke,60,1003,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,6719,6573,146,4730176,146,5310.720989370313
smoke,60,1003,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,46,44,2,51520,2,0.0
smoke,60,1003,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,67,66,1,2027904,1,97.2200110050945
smoke,60,1003,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,10317,10098,219,7263168,219,5963.599613066219
smoke,60,1003,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,10317,10098,219,7263168,219,5963.599613066219
smoke,60,1004,distributed_crn_honest,0.0,COMMIT,280,276,4,98560,4,0.0
smoke,60,1004,distributed_crn_honest,0.0,LEDGER_REPLICATION,70,69,1,78400,1,0.0
