topology,vehicle_count,architecture,seed_count,trust_precision__mean,malicious_revocation_recall__mean,false_revocation_rate__mean,trust_f1__mean,mcc__mean,latency_p95_ms__mean,messages_per_decision__mean,bytes_per_decision__mean,mean_queue_delay_ms__mean,packet_delivery_ratio__mean,cpu_time_seconds__mean,peak_memory_kb__mean,trust_precision__median,malicious_revocation_recall__median,false_revocation_rate__median,trust_f1__median,mcc__median,latency_p95_ms__median,messages_per_decision__median,bytes_per_decision__median,mean_queue_delay_ms__median,packet_delivery_ratio__median,cpu_time_seconds__median,peak_memory_kb__median,trust_precision__std,malicious_revocation_recall__std,false_revocation_rate__std,trust_f1__std,mcc__std,latency_p95_ms__std,messages_per_decision__std,bytes_per_decision__std,mean_queue_delay_ms__std,packet_delivery_ratio__std,cpu_time_seconds__std,peak_memory_kb__std
corridor,80,central_crn_operational_0ms,10,0.9130712806861876,0.6818036824286825,0.00959223794120087,0.7804548620311593,0.7636547776022414,14453.960257993589,40.3914924853236,28435.61070966781,6172.853022994417,0.9801400146823827,5.11875,17862.4021484375,0.9166666666666666,0.6846590909090908,0.009142869084563701,0.7822376738305942,0.765831756260586,14454.924818034146,40.405930948175495,28445.775387515547,6172.64560218794,0.9802144091659726,5.1015625,17887.560546875,0.0077957032674153305,0.025296807490880688,0.0009475092035910113,0.01789125758030165,0.017720264770898858,10.750240822296199,0.08167429868109179,57.498706271488714,10.806066467381061,0.0014178896962528198,0.09264393830982981,103.21292626299018
corridor,80,distributed_crn_honest,10,0.9134131573073262,0.6848572954822955,0.00959223794120087,0.7825955394800455,0.7657303449735624,15329.353644856503,31.51472172613604,32067.499218714056,5154.8591282114585,0.9799356220490985,7.6265625,17100.13662109375,0.9166666666666666,0.6846590909090908,0.009142869084563701,0.7822376738305942,0.765831756260586,15341.074674484003,31.47306143101312,31809.80725666044,5158.30517364562,0.9796961283261459,7.5625,17054.71484375,0.007981269713219314,0.02483717529640175,0.0009475092035910113,0.017622690674071163,0.017599159569340557,52.202727482362626,0.15515548436215024,529.1938208357024,36.262320349010544,0.0017731147813464484,0.2627448015264369,177.81878700960476
corridor,100,central_crn_available_0ms,10,0.9083747163315188,0.6918460152084501,0.00941798585580247,0.7853427253548951,0.7696170080240453,14552.595441054777,39.20936316837055,27603.391670532867,6191.003205290226,0.9800614446939179,6.090625,20769.97626953125,0.9090909090909092,0.6944444444444444,0.0094161958568738,0.7874015748031497,0.7715043501042189,14554.941661968765,39.22489848652639,27614.328534514585,6188.322206708208,0.9801313906113946,6.015625,20751.94384765625,0.0022563645792638572,0.01950836031947147,1.3087090981974604e-05,0.013401416970304662,0.01309820840799091,13.227781653893562,0.08983208920236344,63.24179079846252,6.235317125471974,0.0011132846263163416,0.1778171071947553,95.98700882957003
corridor,100,central_crn_operational_0ms,10,0.907537614377237,0.6849200606990496,0.00941798585580247,0.7805472150189778,0.764945144055231,14552.176721543965,39.20936316837055,27603.391670532867,6191.003205290226,0.9800614446939179,6.053125,20767.1328125,0.9074074074074074,0.6901408450704225,0.0094161958568738,0.784,0.7683529314523646,14555.046014096177,39.22489848652639,27614.328534514585,6188.322206708208,0.9801313906113946,6.046875,20745.234375,0.0020562964078604095,0.019450738893086975,1.3087090981974604e-05,0.013415022948038874,0.013075278136679538,12.770444050867242,0.08983208920236344,63.24179079846252,6.235317125471974,0.0011132846263163416,0.10905210273585343,96.82697643943327
corridor,100,distributed_crn_honest,10,0.9083747163315188,0.6918460152084501,0.00941798585580247,0.7853427253548951,0.7696170080240453,15535.359848074298,30.441587249093384,30553.18750694808,5190.353564088476,0.979879501235985,8.8484375,19809.67763671875,0.9090909090909092,0.6944444444444444,0.0094161958568738,0.7874015748031497,0.7715043501042189,15521.697424932237,30.439007895186304,30496.950315091213,5180.4436096629925,0.9800061040846046,8.8359375,19781.0009765625,0.0022563645792638572,0.01950836031947147,1.3087090981974604e-05,0.013401416970304662,0.01309820840799091,61.419708014955646,0.1922628768429096,413.98878224944036,19.617715758512997,0.001445272645302879,0.22097700711524512,85.95679363949536
grid,20,central_crn_available_0ms,10,0.9045454545454545,0.65,0.0105885862974985,0.756084656084656,0.7383032003229993,14123.499800688975,36.36093413426626,25598.097630523447,5830.354778647926,0.9800944219473149,1.109375,3871.16708984375,0.9090909090909092,0.625,0.0097087378640776,0.7407407407407406,0.725225744821832,14121.523555221629,36.30672268907563,25559.93277310924,5828.295581485434,0.98041612729751,1.125,3857.51904296875,0.025302979898738052,0.03227486121839515,0.0029117901873010293,0.026741540788887585,0.027978620069779154,12.553353860289045,0.21047357481062745,148.1733966666809,36.28189708786164,0.0019640146599164882,0.03375385780420762,62.73212218791073
grid,20,central_crn_operational_0ms,10,0.9036363636363637,0.64375,0.0105885862974985,0.7512413512413512,0.733805838529688,14123.581214782855,36.36093413426626,25598.097630523447,5830.354778647926,0.9800944219473149,1.0875,3879.8505859375,0.9090909090909092,0.625,0.0097087378640776,0.7407407407407406,0.725225744821832,14121.554220556398,36.30672268907563,25559.93277310924,5828.295581485434,0.98041612729751,1.09375,3885.47265625,0.025284827824416645,0.042184284856909574,0.0029117901873010293,0.033389085685709294,0.033483383577695286,12.544364333558695,0.21047357481062745,148.1733966666809,36.28189708786164,0.0019640146599164882,0.03227486121839514,62.241626598491514
grid,20,distributed_crn_honest,10,0.9045454545454545,0.65,0.0105885862974985,0.756084656084656,0.7383032003229993,14354.966804497712,26.428095705142688,30472.83293697599,3940.3682299795023,0.9798969973912343,1.746875,3680.72724609375,0.9090909090909092,0.625,0.0097087378640776,0.7407407407407406,0.725225744821832,14354.855573746445,26.401960784313722,30435.791374401,3952.178367463466,0.97943433612102,1.734375,3655.43359375,0.025302979898738052,0.03227486121839515,0.0029117901873010293,0.026741540788887585,0.027978620069779154,22.0210104976379,0.3067541498537613,757.1370149518508,91.28402894606953,0.0027016009624321346,0.08520043769449386,76.52777472485833
grid,40,central_crn_available_0ms,10,0.9199717204889619,0.825,0.011051447452928149,0.8695814249477902,0.8527060615768922,14203.48111882018,38.36372330007651,27008.061203253863,6257.676268827245,0.979623984666895,2.3453125,8170.98017578125,0.9272486772486773,0.84375,0.0096857410881801,0.870967741935484,0.8522059811313898,14204.828027369684,38.36158089506813,27006.552950127967,6259.135137542558,0.980011730570686,2.3515625,8175.99169921875,0.015717953243603672,0.03359274061791063,0.002428868661458583,0.02153359253898049,0.023429708619767797,9.728149883851266,0.2259199795538873,159.04766560593598,23.995896885414655,0.001489157927932329,0.0787991744616232,162.16487587926375
grid,40,central_crn_operational_0ms,10,0.9199717204889619,0.825,0.011051447452928149,0.8695814249477902,0.8527060615768922,14203.680600291587,38.36372330007651,27008.061203253863,6257.676268827245,0.979623984666895,2.3578125,8179.37548828125,0.9272486772486773,0.84375,0.0096857410881801,0.870967741935484,0.8522059811313898,14204.847849179656,38.36158089506813,27006.552950127967,6259.135137542558,0.980011730570686,2.359375,8172.9013671875,0.015717953243603672,0.03359274061791063,0.002428868661458583,0.02153359253898049,0.023429708619767797,9.87955408942758,0.2259199795538873,159.04766560593598,23.995896885414655,0.001489157927932329,0.040645027114847264,154.4507442032099
