architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,topology,vehicle_count,seed,backhaul_extra_latency_ms,cpu_time_seconds,peak_memory_kb,source_architecture,derivation
central_crn_available_0ms,10,2,115,6,0.8333333333333334,0.625,0.017094017094017,0.375,0.9829059829059827,0.7142857142857143,0.6902493902658681,7399.999999999992,14116.76253420804,0.0,14052.124445432142,14138.294407249845,14157.74745506583,1.000000000001222,4382,32.94736842105263,3084928,23194.947368421053,66,5732.71106891838,0.9849383842994066,,0,0,0,12,1,0,0,1.3441493000136688,smoke,20,1001,0.0,1.3125,3940.697265625,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,16,4,302,19,0.8,0.4571428571428571,0.0130718954248366,0.5428571428571428,0.9869281045751634,0.5818181818181818,0.5735609778535674,9000.0,14261.01409826716,0.0,14107.528383046954,14308.71435253286,14367.219944171153,1.000000000001222,10364,30.39296187683285,7296256,21396.64516129032,188,5998.896232343126,0.981860285604014,,0,0,0,20,1,0,0,4.647110299993074,smoke,60,1002,0.0,4.546875,9143.328125,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,19,3,303,13,0.8636363636363636,0.59375,0.0098039215686274,0.40625,0.9901960784313726,0.7037037037037037,0.6930324448197714,9000.0,14285.505359464523,0.0,14108.161510270918,14320.65856918794,14369.767330938528,1.000000000001222,10317,30.523668639053252,7263168,21488.66272189349,219,5963.599613066219,0.9787728990985752,,0,0,0,22,1,0,0,4.266545499995118,smoke,60,1003,0.0,4.265625,9102.47265625,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,20,3,303,15,0.8695652173913043,0.5714285714285714,0.0098039215686274,0.4285714285714285,0.9901960784313726,0.689655172413793,0.6796157237592424,10000.0,14242.761524971267,0.0,14115.122910626866,14305.468942356429,14350.978085189618,1.000000000001222,10335,30.30791788856305,7275840,21336.774193548383,188,6011.409751717862,0.9818093855829704,,0,0,0,23,1,0,0,4.336827100021765,smoke,60,1004,0.0,4.171875,9130.3349609375,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,20,3,303,15,0.8695652173913043,0.5714285714285714,0.0098039215686274,0.4285714285714285,0.9901960784313726,0.689655172413793,0.6796157237592424,9000.0,14265.471137426595,0.0,14104.467121126909,14317.571251516953,14352.030567405847,1.000000000001222,10370,30.410557184750733,7300480,21409.032258064515,189,6009.410717840323,0.9817743490838958,,0,0,0,23,1,0,0,4.281368800002383,smoke,60,1005,0.0,4.234375,9162.875,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,19,3,303,18,0.8636363636363636,0.5135135135135135,0.0098039215686274,0.4864864864864865,0.9901960784313726,0.6440677966101694,0.6377903437940131,9899.999999999978,14243.291794472438,0.0,14103.689335732157,14309.223901719626,14335.460947419986,1.000000000001222,10465,30.51020408163265,7367360,21479.183673469382,210,5985.4087896802685,0.979933110367893,,0,0,0,22,1,0,0,4.441235599981155,smoke,60,1006,0.0,4.390625,9278.4208984375,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,20,3,305,16,0.8695652173913043,0.5555555555555556,0.0097402597402597,0.4444444444444444,0.9902597402597404,0.6779661016949152,0.6688918070429715,9849.999999999964,14249.977505706653,0.0,14108.969624031495,14297.3770844945,14345.844507811084,1.000000000001222,10504,30.53488372093023,7394816,21496.558139534885,191,6001.3456169082265,0.9817212490479816,,0,0,0,23,1,0,0,2.863271399983205,smoke,60,1007,0.0,2.6875,9272.6162109375,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,19,3,302,15,0.8636363636363636,0.5588235294117647,0.0098360655737704,0.4411764705882353,0.9901639344262296,0.6785714285714287,0.6694387292080645,9099.999999999964,14247.548652806056,0.0,14105.31720191727,14291.160472887026,14320.15588375272,1.000000000001222,10236,30.194690265486727,7206144,21257.061946902653,209,5980.19942008636,0.9795818679171552,,0,0,0,22,1,0,0,2.683170100004645,smoke,60,1008,0.0,2.640625,9036.7529296875,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,20,3,304,17,0.8695652173913043,0.5405405405405406,0.009771986970684,0.4594594594594595,0.990228013029316,0.6666666666666666,0.6583529711559866,10000.0,14237.46151468832,0.0,14113.961321499635,14314.929237619122,14356.511492886735,1.000000000001222,10501,30.52616279069768,7392704,21490.418604651164,239,5967.218211599276,0.9772402628321112,,0,0,0,23,1,0,0,2.784002000000328,smoke,60,1009,0.0,2.765625,9295.1708984375,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,19,3,303,13,0.8636363636363636,0.59375,0.0098039215686274,0.40625,0.9901960784313726,0.7037037037037037,0.6930324448197714,9149.999999999978,14276.465772824611,0.0,14099.280131676956,14302.790433266744,14326.968927340258,1.000000000001222,10270,30.384615384615383,7230080,21390.76923076923,201,5956.898982668383,0.9804284323271664,,0,0,0,22,1,0,0,2.6111381000082474,smoke,60,1010,0.0,2.609375,9054.8720703125,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,18,3,372,14,0.8571428571428571,0.5625,0.008,0.4375,0.992,0.6792452830188678,0.6746660769017394,10000.0,14264.753909890373,0.0,14117.332035021618,14330.341785701294,14366.875343887195,1.000000000001222,11975,29.422604422604422,8430400,20713.513513513517,222,5953.545598664624,0.9813778705636744,,0,0,0,21,1,0,0,3.050182399980258,smoke,80,1001,0.0,3.046875,10555.03515625,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
