architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,topology,vehicle_count,seed,backhaul_extra_latency_ms,cpu_time_seconds,peak_memory_kb
central_crn_operational_0ms,10,1,116,6,0.9090909090909091,0.625,0.008547008547008548,0.375,0.9914529914529915,0.7407407407407406,0.7280758546857721,7399.999999999992,14149.3190179551,0.0,14060.465642892954,14159.243738339686,14178.139595757297,1.0000000000012221,4431,33.31578947368421,3119424,23454.315789473683,95,5623.775978334543,0.9785601444369217,,0,0,0,11,1,0,0,1.7404387000133283,smoke,20,1010,0.0,1.703125,3958.46875
distributed_crn_honest,16,2,216,14,0.8888888888888888,0.5333333333333333,0.009174311926605505,0.4666666666666667,0.9908256880733946,0.6666666666666667,0.6587972361823574,8000.0,14228.428744731054,224.94944664687102,14184.6483349185,14435.992974430479,14505.150719398895,15.822749104830079,5874,23.68548387096774,5770112,23266.58064516129,104,4730.1857446987115,0.9822948586993531,1.0,0,0,0,18,1,0,0,4.035372000013012,smoke,40,1001,0.0,3.921875,6662.966796875
central_crn_available_0ms,16,2,216,14,0.8888888888888888,0.5333333333333333,0.009174311926605505,0.4666666666666667,0.9908256880733946,0.6666666666666667,0.6587972361823574,8000.0,14272.931421139865,0.0,14084.656076349844,14255.459032080973,14337.441000659566,1.0000000000012221,7915,31.91532258064516,5572160,22468.387096774193,141,6018.462901326789,0.9821857233101705,,0,0,0,18,1,0,0,3.4513492999831215,smoke,40,1001,0.0,3.390625,7033.384765625
central_crn_operational_0ms,16,2,216,14,0.8888888888888888,0.5333333333333333,0.009174311926605505,0.4666666666666667,0.9908256880733946,0.6666666666666667,0.6587972361823574,8000.0,14272.931421139865,0.0,14084.656076349844,14255.459032080973,14337.441000659566,1.0000000000012221,7915,31.91532258064516,5572160,22468.387096774193,141,6018.462901326789,0.9821857233101705,,0,0,0,18,1,0,0,3.579098599991994,smoke,40,1001,0.0,3.5,7129.330078125
distributed_crn_honest,18,4,214,14,0.8181818181818182,0.5625,0.01834862385321101,0.4375,0.981651376146789,0.6666666666666666,0.6417179742717445,9000.0,14202.50177278679,293.21232772254575,14224.750597938755,14528.062000940788,14573.980991849088,14.109546772089843,6068,24.272,6252768,25011.072,107,4499.702732021007,0.9823665128543178,1.0,0,0,0,22,1,0,0,4.5637070999946445,smoke,40,1002,0.0,4.390625,6798.205078125
central_crn_available_0ms,18,4,214,14,0.8181818181818182,0.5625,0.01834862385321101,0.4375,0.981651376146789,0.6666666666666666,0.6417179742717445,9000.0,14234.175188056734,0.0,14085.686798756364,14257.811569218844,14313.97997131422,1.0000000000012221,8016,32.064,5643264,22573.056,148,5954.307695608962,0.9815369261477046,,0,0,0,22,1,0,0,4.170578099990962,smoke,40,1002,0.0,4.0,7123.6083984375
central_crn_operational_0ms,18,4,214,14,0.8181818181818182,0.5625,0.01834862385321101,0.4375,0.981651376146789,0.6666666666666666,0.6417179742717445,9000.0,14234.175188056734,0.0,14085.350345794353,14258.011478434522,14314.003304849644,1.0000000000012221,8016,32.064,5643264,22573.056,148,5954.307695608962,0.9815369261477046,,0,0,0,22,1,0,0,3.909594600001583,smoke,40,1002,0.0,3.8125,7111.0380859375
distributed_crn_honest,18,2,217,12,0.9,0.6,0.0091324200913242,0.4,0.9908675799086758,0.7200000000000001,0.7076851903547824,8599.999999999995,14210.521946255058,303.0454187006129,14203.786518131014,14493.090168560057,14557.168176208585,15.012564504659842,5957,23.923694779116467,5953920,23911.32530120482,120,4585.390791928295,0.9798556320295451,1.0,0,0,0,20,1,0,0,4.640198399982182,smoke,40,1003,0.0,4.5,6693.8935546875
central_crn_available_0ms,18,2,217,12,0.9,0.6,0.0091324200913242,0.4,0.9908675799086758,0.7200000000000001,0.7076851903547824,8599.999999999995,14249.751750449004,0.0,14087.207939741094,14244.223927039402,14312.544231570817,1.0000000000012221,7955,31.947791164658636,5600320,22491.24497991968,154,5960.17250232577,0.9806411062225016,,0,0,0,20,1,0,0,3.160683100024471,smoke,40,1003,0.0,3.078125,7040.814453125
central_crn_operational_0ms,17,2,217,13,0.8947368421052632,0.5666666666666667,0.0091324200913242,0.43333333333333335,0.9908675799086758,0.6938775510204083,0.6836180409447545,8599.999999999995,14252.102941058607,0.0,14087.207939741094,14244.646698085333,14312.566009671666,1.0000000000012221,7955,31.947791164658636,5600320,22491.24497991968,154,5960.17250232577,0.9806411062225016,,0,0,0,19,1,0,0,3.188091899995925,smoke,40,1003,0.0,3.15625,7037.4931640625
distributed_crn_honest,20,2,216,12,0.9090909090909091,0.625,0.009174311926605505,0.375,0.9908256880733946,0.7407407407407406,0.7262435240967898,8549.999999999984,14222.93558361793,342.6451187298826,14226.729454406139,14566.018801669086,14621.97797950961,14.184730130855172,6067,24.268,6169472,24677.888,106,4592.0018162859915,0.9825284325037086,1.0,0,0,0,22,1,0,0,5.526215999998385,smoke,40,1004,0.0,5.34375,6757.3681640625
central_crn_available_0ms,20,2,216,12,0.9090909090909091,0.625,0.009174311926605505,0.375,0.9908256880733946,0.7407407407407406,0.7262435240967898,8549.999999999984,14231.465644554119,0.0,14087.752662192606,14234.343675524453,14327.538286430801,1.0000000000012221,7993,31.972,5627072,22508.288,147,5951.609390216623,0.9816089077943201,,0,0,0,22,1,0,0,2.8969827000109944,smoke,40,1004,0.0,2.859375,7090.8291015625
central_crn_operational_0ms,20,2,216,12,0.9090909090909091,0.625,0.009174311926605505,0.375,0.9908256880733946,0.7407407407407406,0.7262435240967898,8549.999999999984,14231.465644554119,0.0,14087.752662192606,14232.765091858568,14327.587976166247,1.0000000000012221,7993,31.972,5627072,22508.288,147,5951.609390216623,0.9816089077943201,,0,0,0,22,1,0,0,3.384944599994924,smoke,40,1004,0.0,3.328125,7240.5244140625
distributed_crn_honest,17,2,216,15,0.8947368421052632,0.53125,0.009174311926605505,0.46875,0.9908256880733946,0.6666666666666666,0.6581939940326537,8549.999999999984,14202.599727173496,273.1896563943568,14190.422646514739,14481.823888239713,14507.243096710397,15.58204106846918,5985,23.94,5918624,23674.496,95,4587.904362480572,0.9841269841269841,1.0,0,0,0,19,1,0,0,4.002372999995714,smoke,40,1005,0.0,4.0,6782.158203125
central_crn_available_0ms,17,2,216,15,0.8947368421052632,0.53125,0.009174311926605505,0.46875,0.9908256880733946,0.6666666666666666,0.6581939940326537,8549.999999999984,14227.975727173476,0.0,14084.982036604963,14223.63872780596,14291.144077481385,1.0000000000012221,8025,32.1,5649600,22598.4,127,5960.63536647992,0.9841744548286604,,0,0,0,19,1,0,0,3.123457600013353,smoke,40,1005,0.0,3.078125,7137.986328125
central_crn_operational_0ms,17,2,216,15,0.8947368421052632,0.53125,0.009174311926605505,0.46875,0.9908256880733946,0.6666666666666666,0.6581939940326537,8549.999999999984,14227.975727173476,0.0,14081.572089262301,14223.785279545862,14291.25864461048,1.0000000000012221,8025,32.1,5649600,22598.4,127,5960.63536647992,0.9841744548286604,,0,0,0,19,1,0,0,3.286868399998639,smoke,40,1005,0.0,3.21875,7126.431640625
distributed_crn_honest,18,2,216,14,0.9,0.5625,0.009174311926605505,0.4375,0.9908256880733946,0.6923076923076923,0.6814047440467477,8549.999999999984,14191.389552185994,309.81993618989776,14205.81377703282,14501.872838925661,14558.750269264527,17.572385296142915,5988,23.952,5984192,23936.768,113,4568.224483019041,0.9811289245156981,1.0,0,0,0,20,1,0,0,4.3806028999970295,smoke,40,1006,0.0,4.265625,6731.9072265625
central_crn_available_0ms,18,2,216,14,0.9,0.5625,0.009174311926605505,0.4375,0.9908256880733946,0.6923076923076923,0.6814047440467477,8549.999999999984,14217.375048102427,0.0,14084.469673613668,14255.69856443747,14282.794023322016,1.0000000000012221,8010,32.04,5639040,22556.16,161,5948.603772284823,0.9799001248439451,,0,0,0,20,1,0,0,3.472260099981213,smoke,40,1006,0.0,3.390625,7090.796875
central_crn_operational_0ms,18,2,216,14,0.9,0.5625,0.009174311926605505,0.4375,0.9908256880733946,0.6923076923076923,0.6814047440467477,8549.999999999984,14217.375048102427,0.0,14084.558353667959,14255.986923742274,14282.863860347627,1.0000000000012221,8010,32.04,5639040,22556.16,161,5948.603772284823,0.9799001248439451,,0,0,0,20,1,0,0,3.4836340000038035,smoke,40,1006,0.0,3.453125,7089.3359375
